Agency,Component,Year,Simple-Median No. of Days,Simple-Average No. of Days,Simple-Lowest No. of Days,Simple-Highest No. of Days,Complex-Median No. of Days,Complex-Average No. of Days,Complex-Lowest No. of Days,Complex-Highest No. of Days,Expedited Processing-Median No. of Days,Expedited Processing-Average No. of Days,Expedited Processing-Lowest No. of Days,Expedited Processing-Highest No. of Days,
EPA,EPA,2014,15,13.16,-1,20,33,79.49,-1,2120,34.5,264.86,-1,1790
LSC,LSC,2014,15,14.5,1,34,,,,,12,15.7,11,24
TVA,TVA,2014,15,15,1,30,57,103,32,516,29,28,26,30
CSOSA,CSOSA,2014,15,30.3,1,401,,,,,,,,
CO,CO,2014,15,34.8,1,542,,,,,,,,
DOJ,DOJ,2014,16,31.72,-1,689,87,136.78,-1,1243,51,155.47,-1,937
CIA,CIA,2014,16,32.87,-1,1361,49,134.24,1,2327,1303,1303,1193,1413
DOT,DOT,2014,16,24.575,-1,1969,44,74.305,-1,1380,20.5,108.304,-1,667
DNFSB,DNFSB,2014,16,30.48,1,256,0,0,0,0,18,18,3,35
OGE,OGE,2014,16.5,14.7,1,41,,,0,0,,,0,0
U.S. CPSC,U.S. CPSC,2014,18,32,1,481,50,81,1,729,,,,
USIBWC,USIBWC,2014,19,22.6,1,54,,,,,,,,
FCC,FCC,2014,19,25.04,-1,462,543,359.17,6,626,7.5,21.85,1,128
MCC,MCC,2014,19,22.8,-1,117,,,,,,,,
RATB,RATB,2014,19,17.6,1,27,,,,,,,,
FRTIB,FRTIB,2014,19.5,26.7,1,183,,,,,,,,
FEC,FEC,2014,20,23.5,2,125,29,162.6,23,511,11,11.6,10,14
SIGAR,SIGAR,2014,20,20,1,30,65,38,30,161,,,,
NEA,NEA,2014,22,13,2,510,35,192,18,710,,,,
NSF,NSF,2014,22,29,1,185,98,132,1,1058,28,28,28,28
CFTC,CFTC,2014,23,30.92,1,126,55,102.25,2,566,,,,
US RRB,US RRB,2014,24,38.58,1,121,,,,,,,,
FERC,FERC,2014,25,25,3,36,25,51,4,652,,,,
IAF,IAF,2014,31,32.88,12,61,,,,,,,,
USTR,USTR,2014,33,31,1,98,277,225,17,814,,,,
ONDCP,ONDCP,2014,33,39,1,182,,,,,,,,
PC,PC,2014,38,82,-1,409,51,113,5,552,,,,
OMB,OMB,2014,39,106,1,514,,,,,,,,
NIGC,NIGC,2014,45,119,1,730,211.5,302,56,836,,,,
Ex-Im Bank,Ex-Im Bank,2014,54,84.33,2,339,59,169.85,8,789,,,,
State,State,2014,66,90,1,1576,333,534.8,11.4,2237,100.4,385.6,45.6,1482
