Agency,Component,Year,Request Pending on Start,Request Received in FY,Request Processed in FY,Request Pending for Next,Released in Full ratio,Released in Part ratio,Denied in Full ratio,
USAID,USAID,2015,295,330,305,320,0.4022,0.5363,0.0615
OPM,OPM,2015,333,10720,10854,199,0.7131,0.2803,0.0066
ED,ED,2015,388,2297,2315,370,0.2923,0.5970,0.1107
HUD,HUD,2015,409,2230,2180,459,0.5147,0.4196,0.0657
DOC,DOC,2015,490,2230,2163,557,0.5284,0.3564,0.1152
NTSB,NTSB,2015,519,566,394,691,0.1392,0.2938,0.5670
DOE,DOE,2015,521,2356,2445,432,0.5515,0.4281,0.0204
SEC,SEC,2015,607,16898,16207,1298,0.6745,0.0993,0.2261
DOI,DOI,2015,1001,6792,6757,1036,0.5655,0.3942,0.0403
CIA,CIA,2015,1034,3618,3181,1471,0.1883,0.3941,0.4176
EEOC,EEOC,2015,1160,17883,17481,1562,0.0276,0.8361,0.1363
Treasury,Treasury,2015,1547,13922,13987,1482,0.5720,0.3764,0.0516
U.S. DOL,U.S. DOL,2015,1615,16792,17104,1303,0.1455,0.6819,0.1726
VA,VA,2015,2442,29716,30436,1722,0.4786,0.3417,0.1797
DOT,DOT,2015,2489,13374,12681,3182,0.6999,0.2862,0.0139
SSA,SSA,2015,2504,23208,22922,2790,0.7475,0.2424,0.0101
EPA,EPA,2015,2508,10910,11278,2140,0.8635,0.1279,0.0086
USDA,USDA,2015,3465,20132,19559,4038,0.8570,0.1255,0.0175
NARA,NARA,2015,9361,22555,23591,8325,0.2600,0.7204,0.0195
HHS,HHS,2015,9785,43085,45186,7684,0.5967,0.2009,0.2024
State,State,2015,10924,24837,14002,21759,0.2001,0.2456,0.5544
DoD,DoD,2015,11704,57498,56507,12695,0.5684,0.3669,0.0647
DOJ,DOJ,2015,13602,67783,67825,13560,0.6907,0.2430,0.0664
DHS,DHS,2015,117034,281138,348878,49294,0.0651,0.9064,0.0285
