Agency,Component,Year,Request Ex. 1,Request Ex. 2,Request Ex. 3,Request Ex. 4,Request Ex. 5,Request Ex. 6,Request Ex. 7A,Request Ex. 7B,Request Ex. 7C,Request Ex. 7D,Request Ex. 7E,Request Ex. 7F,Request Ex. 8,Request Ex. 9,
RATB,RATB,2013,0,0,0,0,0,1,0,0,1,0,0,0,0,0
FMCS,FMCS,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCA,FCA,2013,0,0,0,0,1,1,0,0,0,0,0,0,1,0
IAF,IAF,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FTC,FTC,2013,0,0,6,3,5,3,1,0,1,2,1,0,0,0
FRB,FRB,2013,0,0,0,17,17,13,2,0,0,0,0,0,21,0
NRPC,NRPC,2013,0,0,0,1,0,0,0,0,0,0,0,0,0,0
NMB,NMB,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEH,NEH,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSOSA,CSOSA,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CPPBSD,CPPBSD,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOE,DOE,2013,0,0,2,14,8,19,2,0,1,0,0,0,0,0
ACUS,ACUS,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CIGIE,CIGIE,2013,0,0,0,0,1,1,0,0,0,0,0,0,0,0
ED,ED,2013,0,0,0,0,6,2,0,0,1,1,1,0,0,0
FRTIB,FRTIB,2013,0,0,0,6,0,1,0,0,0,0,1,0,0,0
DOT,DOT,2013,0,0,3,8,14,32,0,0,20,2,1,0,0,0
FOMC,FOMC,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO,CO,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFTC,CFTC,2013,0,0,1,1,1,1,1,0,0,0,0,0,0,0
CSB,CSB,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U.S. CPSC,U.S. CPSC,2013,0,0,11,8,8,2,3,0,0,1,0,0,0,0
SIGAR,SIGAR,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DNFSB,DNFSB,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ex-Im Bank,Ex-Im Bank,2013,0,0,0,1,1,0,0,0,0,0,0,0,0,0
DOC,DOC,2013,2,0,11,4,13,14,3,0,8,0,4,0,0,0
NARA,NARA,2013,2,0,4,1,3,12,0,0,7,10,4,0,0,0
ODNI,ODNI,2013,3,0,3,0,0,0,0,0,0,0,0,0,0,0
DHS,DHS,2013,4,11,69,33,714,1152,32,0,1310,3,1270,7,0,0
CIA,CIA,2013,34,1,34,0,1,3,0,0,0,0,0,0,0,0
DOJ,DOJ,2013,63,0,117,6,114,319,96,2,612,152,539,137,1,0
State,State,2013,81,2,137,3,22,43,3,0,5,1,3,0,0,0
DoD,DoD,2013,199,3,219,18,94,170,15,0,63,8,10,4,0,0
