Agency,Component,Year,Request Pending on Start,Request Received in FY,Request Processed in FY,Request Pending for Next,Released in Full ratio,Released in Part ratio,Denied in Full ratio,
US RRB,US RRB,2013,0,122,119,3,0.7264,0.2547,0.0189
FCSIC,FCSIC,2013,0,8,8,0,1.0000,0.0000,0.0000
FFIEC,FFIEC,2013,0,22,22,0,0.8182,0.1818,0.0000
STB,STB,2013,0,34,32,2,0.8400,0.1200,0.0400
MSPB,MSPB,2013,0,207,202,5,0.6197,0.3592,0.0211
MCC,MCC,2013,0,25,21,4,0.2000,0.5500,0.2500
LSC,LSC,2013,0,37,37,0,0.4194,0.2581,0.3226
PRC,PRC,2013,0,24,24,0,0.8000,0.2000,0.0000
USCCR,USCCR,2013,0,23,23,0,0.7778,0.2222,0.0000
ONHIR,ONHIR,2013,0,248,248,0,0.6694,0.3306,0.0000
SSS,SSS,2013,0,18,18,0,1.0000,0.0000,0.0000
NCPC,NCPC,2013,0,9,9,0,1.0000,0.0000,0.0000
OSHRC,OSHRC,2013,0,50,47,3,0.5938,0.4063,0.0000
US ADF,US ADF,2013,0,4,4,0,,,
AFRH,AFRH,2013,0,18,18,0,0.4375,0.3750,0.1875
IAF,IAF,2013,0,11,11,0,0.7778,0.1111,0.1111
NEH,NEH,2013,0,35,34,1,0.5385,0.4615,0.0000
CPPBSD,CPPBSD,2013,0,4,4,0,0.3333,0.6667,0.0000
ACUS,ACUS,2013,0,19,19,0,0.6667,0.3333,0.0000
DNFSB,DNFSB,2013,0,17,14,3,0.2500,0.5000,0.2500
USITC,USITC,2013,1,35,35,1,0.8148,0.1111,0.0741
IMLS,IMLS,2013,1,42,41,2,0.3571,0.6429,0.0000
ABMC,ABMC,2013,1,3,3,1,0.5000,0.5000,0.0000
FLRA,FLRA,2013,1,105,102,4,0.5926,0.3704,0.0370
USTDA,USTDA,2013,1,13,12,2,0.8333,0.0000,0.1667
OGE,OGE,2013,1,47,43,5,0.5000,0.4688,0.0313
RATB,RATB,2013,1,13,14,0,0.5714,0.1429,0.2857
FCA,FCA,2013,1,29,29,1,0.8182,0.1364,0.0455
NMB,NMB,2013,1,31,32,0,0.9048,0.0000,0.0952
SIGAR,SIGAR,2013,1,30,30,1,0.0000,0.7500,0.2500
FMCS,FMCS,2013,2,113,113,2,0.8261,0.1739,0.0000
FMSHRC,FMSHRC,2013,3,176,174,5,0.9940,0.0060,0.0000
USIBWC,USIBWC,2013,3,18,19,2,0.9167,0.0000,0.0833
OSTP,OSTP,2013,3,128,130,1,0.2609,0.6957,0.0435
OPIC,OPIC,2013,3,29,30,2,0.1111,0.8889,0.0000
ONDCP,ONDCP,2013,3,63,60,6,1.0000,0.0000,0.0000
BBG,BBG,2013,4,58,45,17,0.4483,0.4483,0.1034
CIGIE,CIGIE,2013,4,37,31,10,0.0714,0.8571,0.0714
FRTIB,FRTIB,2013,4,25,26,3,0.5294,0.4118,0.0588
CO,CO,2013,4,35,36,3,0.7059,0.1765,0.1176
FTC,FTC,2013,7,1447,1443,11,0.4474,0.5224,0.0302
FEC,FEC,2013,8,87,73,22,0.5000,0.5000,0.0000
FOMC,FOMC,2013,8,21,21,8,0.6923,0.2308,0.0769
NCUA,NCUA,2013,9,127,134,2,0.4600,0.4700,0.0700
