Agency,Component,Year,Simple-Number Pending,Simple-Median No. of Days,Simple-Average No. of Days,Complex-Number Pending,Complex-Median No. of Days,Complex-Average No. of Days,Expedited Processing-Number Pending,Expedited Processing-Median No. of Days,Expedited Processing-Average No. of Days,
USITC,USITC,2013,0,0,0,1,5,5,0,0,0
FCSIC,FCSIC,2013,0,0,0,0,,,0,,
FMC,FMC,2013,0,,,18,337.5,287.9,0,,
FFIEC,FFIEC,2013,0,,,0,,,0,,
LSC,LSC,2013,0,,,0,,,0,,
PRC,PRC,2013,0,,,0,,,0,,
USCCR,USCCR,2013,0,,,0,,,0,,
OSTP,OSTP,2013,0,,,1,67,67,0,,
PBGC,PBGC,2013,0,0,0,79,5,12,0,0,0
ONHIR,ONHIR,2013,0,,,0,,,0,,
SSS,SSS,2013,0,,,0,,,0,,
NCPC,NCPC,2013,0,,,0,,,0,,
USTDA,USTDA,2013,0,,,1,153,153,1,1212,1212
USTR,USTR,2013,0,,,35,21,121,0,,
US ADF,US ADF,2013,0,0,0,0,0,0,0,0,0
BBG,BBG,2013,0,,,17,71,69,0,,
AFRH,AFRH,2013,0,,,0,,,0,,
RATB,RATB,2013,0,,,0,,,0,,
IAF,IAF,2013,0,,,0,,,0,,
NMB,NMB,2013,0,0,0,0,0,0,0,0,0
NEH,NEH,2013,0,0,0,1,34,34,0,0,0
CPPBSD,CPPBSD,2013,0,0,0,0,0,0,0,0,0
ACUS,ACUS,2013,0,,,0,,,0,,
FOMC,FOMC,2013,0,,,8,224.5,214.4,0,,
STB,STB,2013,1,3,3,0,,,0,,
MSPB,MSPB,2013,1,4,4,4,11.5,11.5,0,,
NCUA,NCUA,2013,1,14,14,1,8,8,0,0,0
ABMC,ABMC,2013,1,193,193,0,,,0,,
NEA,NEA,2013,1,301,301,3,374,379,0,,
OPIC,OPIC,2013,1,45,45,0,0,0,1,51,51
FMCS,FMCS,2013,1,3,3,1,0,0,0,0,0
FCA,FCA,2013,1,11,11,0,0,0,0,0,0
FRB,FRB,2013,1,2,2,34,44,53,2,139,139
NRPC,NRPC,2013,1,3,3,24,61,90,0,0,0
CSB,CSB,2013,1,1,1,0,,,0,,
SIGAR,SIGAR,2013,1,43,43,0,,,0,,
FMSHRC,FMSHRC,2013,2,1.5,1.5,3,20,16,0,0,0
USIBWC,USIBWC,2013,2,26,26,0,,,0,,
IMLS,IMLS,2013,2,5,4.5,0,0,0,0,0,0
FTC,FTC,2013,2,11,11,9,11,50,0,,
DOI,DOI,2013,3,3,3,726,38,137,8,371,409
US RRB,US RRB,2013,3,24,21,0,,,0,,
CNCS,CNCS,2013,3,9,17,3,198,174,0,0,0
FLRA,FLRA,2013,3,3,3.33,0,,,0,,
OSHRC,OSHRC,2013,3,9,9,0,0,0,0,0,0
FRTIB,FRTIB,2013,3,29,22,0,,,0,,
CO,CO,2013,3,57,144.3,0,,,0,,
DNFSB,DNFSB,2013,3,31,25,0,,,0,,
MCC,MCC,2013,4,3,7,0,,,0,,
CFPB,CFPB,2013,4,4,9,7,10,17,0,,
CIGIE,CIGIE,2013,4,11,12,6,226,236,0,0,0
USNRC,USNRC,2013,5,7,8,79,145,216,11,610,564
OGE,OGE,2013,5,3,38,0,0,0,0,0,0
FERC,FERC,2013,6,7,7.5,9,23,77,0,,
ONDCP,ONDCP,2013,6,118,117,0,,,0,,
CFTC,CFTC,2013,7,35,65,13,289,194,0,,
USAID,USAID,2013,10,49,62.7,227,177,270.06,0,,
NASA,NASA,2013,11,4,6.64,43,19,29.72,0,,
TVA,TVA,2013,11,5,7.4,11,60,184.7,0,,
FHFA,FHFA,2013,12,4,45,13,35,65,0,0,0
NTSB,NTSB,2013,12,14.5,81,331,161,187,0,,
Ex-Im Bank,Ex-Im Bank,2013,14,132,173,24,265,255.96,0,,
FEC,FEC,2013,16,12.5,17.4,6,213.5,271.5,0,0,0
CEQ,CEQ,2013,21,134,160,5,119,151,0,,
FDIC,FDIC,2013,22,5.5,6,2,28,28,0,,
NIGC,NIGC,2013,24,107,159,9,145,262,0,,
PC,PC,2013,24,35,55,17,141,294,0,,
GSA,GSA,2013,25,19,23.44,133,33,68.16,0,,
OSC,OSC,2013,29,172,196,96,261,292,7,163,201
SBA,SBA,2013,30,3,5.6,0,,,0,,
U.S. CPSC,U.S. CPSC,2013,34,52,91,213,80,157,0,,
FCC,FCC,2013,48,13.5,34.66,13,347,262.15,0,,
OMB,OMB,2013,61,58,83,0,,,0,,
OPM,OPM,2013,73,41,56,474,20,22,0,,
DOC,DOC,2013,73,6,7,275,117,180,8,78,114
ED,ED,2013,77,21,67,265,47,88,1,437,437
CSOSA,CSOSA,2013,104,24,54,0,,,0,,
U.S. DOL,U.S. DOL,2013,108,24,46.9,1130,22,53.7,8,15.5,33.9
NLRB,NLRB,2013,108,14,21,0,,,0,0,0
HUD,HUD,2013,120,12.75,34.68,146,12,18.71,0,,
ODNI,ODNI,2013,129,268.5,332.53,26,129,287.62,0,,
USPS,USPS,2013,131,24,52.5,66,53,129.36,0,,
NSF,NSF,2013,144,117,240,0,,,0,,
Treasury,Treasury,2013,158,66,66.49,1003,13,29.18,30,8,70.33
DOE,DOE,2013,203,396,387.15,378,278,372.17,0,,
SSA,SSA,2013,233,18,17,61,45,64,0,,
CIA,CIA,2013,279,22.5,222.51,710,196,344.07,4,1072.5,987.25
SEC,SEC,2013,479,10,51,6,630,550,2,264,264
VA,VA,2013,564,10,40,1199,63,95,2,76.5,76
NARA,NARA,2013,778,447.5,773.84,2962,931.5,1303.7,1,9,9
EPA,EPA,2013,849,58,153.11,1125,30,133.74,11,993,583.18
DOT,DOT,2013,1059,47,95.043,594,52,111.05,18,117,187.526
EEOC,EEOC,2013,1128,29,33.9761,0,,,0,,
DoD,DoD,2013,1268,,27,6950,,402,36,,87
USDA,USDA,2013,1303,92,157.95,364,133,193.45,2,91,91
State,State,2013,1367,150,318,7444,285.7,517.7,11,171,526
HHS,HHS,2013,4387,15,81,3784,138,163,20,28,244
DOJ,DOJ,2013,5071,33,82.14,4781,123,171.78,89,205,271.06
DHS,DHS,2013,52507,13,51.4345,11701,55,127.832,8,61.21,69.505
