Agency,Component,Year,Number Granted,Number Denied,Median Number of Days to Adjudicate,Average Number of Days to Adjudicate,Number Adjudicate within 10 Calendar Days,
US RRB,US RRB,2013,0,0,,,0
USITC,USITC,2013,0,1,0,0,0
USIBWC,USIBWC,2013,0,0,,,
FCSIC,FCSIC,2013,0,0,,,0
FFIEC,FFIEC,2013,0,0,,,
CIA,CIA,2013,0,3,9,10,2
STB,STB,2013,0,0,,,0
SBA,SBA,2013,0,4,5,8,4
NIGC,NIGC,2013,0,2,20.5,20.5,0
MSPB,MSPB,2013,0,0,0,0,0
IMLS,IMLS,2013,0,0,0,0,0
FERC,FERC,2013,0,10,7.5,7.7,10
NASA,NASA,2013,0,9,0,4.22,7
FHFA,FHFA,2013,0,22,1,1.5,21
FEC,FEC,2013,0,7,3,3,7
MCC,MCC,2013,0,0,,,
LSC,LSC,2013,0,0,,,0
CFPB,CFPB,2013,0,8,1,0.62,8
ABMC,ABMC,2013,0,0,,,0
PC,PC,2013,0,0,,,0
PBGC,PBGC,2013,0,0,,,
NTSB,NTSB,2013,0,2,24.5,24.5,1
USNRC,USNRC,2013,0,26,1,1,26
ONHIR,ONHIR,2013,0,0,,,
TVA,TVA,2013,0,1,6,6,1
NEA,NEA,2013,0,5,1,1,5
SSS,SSS,2013,0,0,,,0
SSA,SSA,2013,0,0,,,0
NCPC,NCPC,2013,0,0,,,
FLRA,FLRA,2013,0,3,16,14.33,1
USTDA,USTDA,2013,0,0,,,0
USTR,USTR,2013,0,2,11,11,0
NSF,NSF,2013,0,1,10,10,1
OSHRC,OSHRC,2013,0,0,,,
OMB,OMB,2013,0,0,,,
OGE,OGE,2013,0,0,0,0,0
US ADF,US ADF,2013,0,0,,,
BBG,BBG,2013,0,1,12,12,0
ONDCP,ONDCP,2013,0,0,,,
AFRH,AFRH,2013,0,0,,,
RATB,RATB,2013,0,0,,,
IAF,IAF,2013,0,0,,,0
CPPBSD,CPPBSD,2013,0,0,0,0,0
ACUS,ACUS,2013,0,0,,,
CIGIE,CIGIE,2013,0,0,,,
FRTIB,FRTIB,2013,0,0,,,
FOMC,FOMC,2013,0,3,10,10,3
CO,CO,2013,0,0,,,
CFTC,CFTC,2013,0,1,10,10,1
CSB,CSB,2013,0,0,,,
U.S. CPSC,U.S. CPSC,2013,0,0,,,0
SIGAR,SIGAR,2013,0,0,0,0,0
Ex-Im Bank,Ex-Im Bank,2013,0,1,41,41,0
ODNI,ODNI,2013,0,0,,,
CNCS,CNCS,2013,1,1,5.5,5.5,2
NCUA,NCUA,2013,1,0,14,14,0
PRC,PRC,2013,1,0,5,5,1
USCCR,USCCR,2013,1,0,1,1,1
OSTP,OSTP,2013,1,0,2,2,1
FCA,FCA,2013,1,0,2,2,1
FTC,FTC,2013,1,31,3,4.94,29
FRB,FRB,2013,1,2,11,9,1
NMB,NMB,2013,1,0,15,15,0
CSOSA,CSOSA,2013,1,0,1,1,1
USAID,USAID,2013,2,11,10,78.85,7
GSA,GSA,2013,2,10,1,1,12
FCC,FCC,2013,2,0,4.5,4.5,2
CEQ,CEQ,2013,2,2,49,116,0
OPIC,OPIC,2013,2,1,1,2,3
NEH,NEH,2013,2,1,1,1,3
DNFSB,DNFSB,2013,2,0,7,7,2
FMSHRC,FMSHRC,2013,3,0,7,5.7,3
NRPC,NRPC,2013,3,0,1,1,3
FMC,FMC,2013,4,0,3.5,5,3
NLRB,NLRB,2013,4,2,3,4,3
USPS,USPS,2013,4,56,1,3.25,53
FMCS,FMCS,2013,4,0,1,1,4
ED,ED,2013,4,3,6.5,6.86,6
OSC,OSC,2013,6,5,7,97.18,6
NARA,NARA,2013,8,4,1,3,10
EPA,EPA,2013,10,458,8,10.53,282
EEOC,EEOC,2013,11,35,7.5,6.67391,38
DOE,DOE,2013,11,98,4,7.06,88
State,State,2013,12,332,5,6,297
HUD,HUD,2013,13,284,1,6.98,290
SEC,SEC,2013,13,140,2,4.42,141
FDIC,FDIC,2013,16,98,,2.32,107
DOC,DOC,2013,18,45,6,9,57
USDA,USDA,2013,24,492,1,1.75,509
DOI,DOI,2013,31,53,3,5,67
VA,VA,2013,43,87,0.5,6.59,111
HHS,HHS,2013,55,419,9,12,197
DOT,DOT,2013,56,213,1,1.0337,253
OPM,OPM,2013,67,16,1,1,83
U.S. DOL,U.S. DOL,2013,82,370,10,41.4,227
DHS,DHS,2013,96,1384,2,4.09333,1366
DOJ,DOJ,2013,117,900,1,4.19,934
Treasury,Treasury,2013,123,277,1,2.63,316
DoD,DoD,2013,267,747,,5,920
