Year,Agency,Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total
2011,PC,FOIA Office,0,0,1,1,3,0,1,1,0,0,0,0,0,7
2011,PC,OIG,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,PRC,PRC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,RATB,RATB,4,0,0,0,0,0,0,0,0,0,0,0,0,4
2011,SBA,SBA,1,0,3,0,0,0,0,0,0,0,0,0,0,4
2011,SEC,SEC,9,2,1,0,0,0,0,0,0,0,0,0,3,15
2011,SIGAR,SIGAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,SIGIR,SIGIR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,SSA,SSA,422,75,75,26,26,7,8,3,4,2,1,0,0,649
2011,SSS,SSS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,State,DoS,29,49,57,90,103,214,133,143,142,119,2283,1094,1035,5491
2011,State,OIG,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,STB,STB,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Treasury,BEP,11,1,1,0,0,0,0,0,0,0,0,0,0,13
2011,Treasury,BPD,184,5,0,0,0,0,0,0,0,0,0,0,0,189
2011,Treasury,CFPB,0,0,0,0,1,0,0,0,0,0,0,0,0,1
2011,Treasury,DO,490,39,33,23,20,8,18,8,5,4,20,23,100,791
2011,Treasury,FinCEN,90,0,0,0,0,0,0,0,0,0,0,0,0,90
2011,Treasury,FMS,0,10,0,0,0,0,0,0,0,0,0,0,0,10
2011,Treasury,IRS,8918,2077,667,212,68,30,12,8,9,3,12,9,3,12028
2011,Treasury,MINT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Treasury,OCC,21,19,10,8,8,2,1,0,0,0,0,0,0,69
2011,Treasury,OTS,52,7,2,0,1,0,0,0,1,0,0,0,0,63
2011,Treasury,TIGTA,186,21,10,2,1,1,0,0,0,0,0,0,0,221
2011,Treasury,TTB,25,21,3,1,0,0,0,0,0,0,0,0,0,50
2011,TVA,TVA,0,18,10,7,3,1,0,0,0,0,0,0,0,39
2011,U.S. CPSC,U.S. CPSC,149,114,103,99,68,47,28,16,19,15,50,30,21,759
2011,U.S. DOL,ADJ BDS,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2011,U.S. DOL,ALJ,165,3,0,0,0,0,0,0,0,0,0,0,0,168
2011,U.S. DOL,ASP,5,3,2,0,1,0,0,1,1,0,0,1,15,29
2011,U.S. DOL,BLS,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2011,U.S. DOL,CFO,11,3,3,0,0,1,0,0,0,0,1,0,1,20
2011,U.S. DOL,EBSA,224,62,6,1,2,1,0,0,0,1,1,1,0,299
2011,U.S. DOL,ETA,545,180,36,10,4,2,3,0,3,0,0,0,1,784
2011,U.S. DOL,EXEC SEC,2,2,0,0,0,0,0,0,0,0,0,0,0,4
2011,U.S. DOL,ILAB,12,2,2,1,0,0,0,0,0,0,0,0,0,17
2011,U.S. DOL,MSHA,1577,353,104,60,31,31,14,14,6,6,14,10,1,2221
2011,U.S. DOL,OASAM,86,101,42,25,20,11,11,5,3,4,1,4,0,313
2011,U.S. DOL,OCIA,5,8,8,1,0,0,1,0,0,0,0,0,0,23
2011,U.S. DOL,ODEP,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2011,U.S. DOL,OFCCP,125,68,35,18,5,4,4,1,1,1,1,1,1,265
2011,U.S. DOL,OIG,6,4,0,4,0,0,1,1,0,0,2,0,2,20
2011,U.S. DOL,OLMS,55,13,0,4,0,3,1,0,0,0,0,0,0,76
2011,U.S. DOL,OPA,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2011,U.S. DOL,OSEC,9,9,2,4,6,7,3,5,2,0,1,1,0,49
2011,U.S. DOL,OSHA,2792,417,116,75,42,43,25,12,6,18,25,3,1,3575
2011,U.S. DOL,OWCP,169,72,30,13,11,3,2,5,4,1,4,2,2,318
2011,U.S. DOL,SOL,11,17,7,5,6,4,3,3,0,0,2,4,10,72
2011,U.S. DOL,VETS,63,5,4,0,0,1,0,0,1,0,3,3,3,83
2011,U.S. DOL,WB,1,3,2,2,0,0,1,0,0,0,0,0,0,9
2011,U.S. DOL,WHD,284,195,105,45,40,15,8,6,6,5,14,3,2,728
2011,US ADF,US ADF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,US RRB,OIG,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,US RRB,RRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,USAID,USAID,24,29,10,10,10,11,8,3,7,6,30,21,83,252
2011,USCCR,USCCR,46,6,4,2,2,0,0,0,1,0,0,0,2,63
2011,USDA,AMS,6,7,0,4,0,1,1,0,0,0,0,1,0,20
2011,USDA,APHIS,5,7,12,7,8,6,5,4,1,2,9,14,57,137
2011,USDA,ASCR,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2011,USDA,DM,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,USDA,FAS,3,0,0,2,0,0,0,0,0,0,0,0,0,5
2011,USDA,FNCS,4,5,2,0,1,0,0,0,0,0,0,0,0,12
2011,USDA,FS,180,146,48,28,17,16,12,6,7,5,8,3,0,476
2011,USDA,FSA,405,86,24,2,5,2,1,1,4,1,4,1,1,537
2011,USDA,FSIS,2,1,0,0,27,15,11,14,26,60,36,30,18,240
2011,USDA,GIPSA,1,2,2,2,4,0,0,0,0,0,0,0,0,11
2011,USDA,NAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0
