Year,Agency,Component,No. of Full Grants,No. of Partial Grants/ Partial Denials,No. of Full Denials Based on Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions.1,Number of Full Denials Based on Reasons Other than Exemptions.2,Number of Full Denials Based on Reasons Other than Exemptions.3,Number of Full Denials Based on Reasons Other than Exemptions.4,Number of Full Denials Based on Reasons Other than Exemptions.5,Number of Full Denials Based on Reasons Other than Exemptions.6,Number of Full Denials Based on Reasons Other than Exemptions.7,Number of Full Denials Based on Reasons Other than Exemptions.8,Total
2010,DOI,SOL,30.0,5.0,5.0,20,3,5,2,0,0,0,3,2,75.0
2010,DOI,USGS,90.0,18.0,1.0,11,0,5,5,4,1,12,3,8,158.0
2010,DOJ,Office of the AG,45.0,14.0,21.0,67,5,18,2,2,38,2,22,37,273.0
2010,DOJ,Office of the DAG,17.0,16.0,15.0,32,5,8,3,1,4,1,7,14,123.0
2010,DOJ,Office of the Assoc. AG,3.0,3.0,21.0,27,3,1,0,2,3,2,4,2,71.0
2010,DOJ,Antitrust,10.0,19.0,19.0,30,1,5,4,0,0,0,2,0,90.0
2010,DOJ,ATF,177.0,592.0,212.0,223,19,4,167,22,22,11,29,7,1485.0
2010,DOJ,BOP,10520.0,1587.0,209.0,1426,24,92,383,678,587,415,217,0,16138.0
2010,DOJ,Civil,89.0,47.0,14.0,117,5,23,13,2,9,0,7,0,326.0
2010,DOJ,Civil Rights,182.0,128.0,43.0,30,36,10,8,1,8,1,3,0,450.0
2010,DOJ,COPS,35.0,8.0,0.0,25,2,3,0,0,0,0,0,0,73.0
2010,DOJ,Criminal,71.0,95.0,55.0,335,89,13,2,161,5,139,12,0,977.0
2010,DOJ,CRS,9.0,0.0,0.0,0,0,0,0,0,0,0,0,0,9.0
2010,DOJ,DEA,64.0,448.0,41.0,192,9,24,39,120,15,7,25,258,1242.0
2010,DOJ,ENRD,24.0,35.0,5.0,26,0,4,0,2,0,0,0,0,96.0
2010,DOJ,EOIR,12927.0,356.0,20.0,3479,13,24,104,2,17,1,370,0,17313.0
2010,DOJ,EOUSA,419.0,606.0,726.0,551,371,53,140,404,829,386,52,101,4638.0
2010,DOJ,EOUST,7.0,18.0,2.0,6,0,3,6,10,2,2,1,0,57.0
2010,DOJ,FBI,192.0,3469.0,348.0,6440,18,230,589,2169,31,0,1179,0,14665.0
2010,DOJ,FCSC,4.0,6.0,0.0,9,0,0,0,0,0,0,0,0,19.0
2010,DOJ,JMD,69.0,10.0,3.0,20,18,8,40,11,8,5,5,2,199.0
2010,DOJ,NDIC,14.0,26.0,0.0,31,3,1,0,1,2,0,1,0,79.0
2010,DOJ,NSD,37.0,52.0,45.0,101,3,3,1,10,5,8,4,10,279.0
2010,DOJ,OCDETF,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,1.0
2010,DOJ,ODR,0.0,0.0,0.0,9,0,0,0,0,0,0,0,0,9.0
2010,DOJ,OFDT,9.0,7.0,0.0,13,4,1,1,0,0,0,0,0,35.0
2010,DOJ,OIG,41.0,65.0,18.0,75,7,11,1,0,0,1,0,0,219.0
2010,DOJ,OIP,33.0,6.0,1.0,30,10,10,5,8,267,6,6,170,552.0
2010,DOJ,OIPL,4.0,1.0,0.0,19,1,2,1,0,2,0,2,2,34.0
2010,DOJ,OJP,91.0,224.0,7.0,72,27,26,0,0,0,0,1,0,448.0
2010,DOJ,OLA,14.0,14.0,1.0,21,5,44,0,0,3,0,8,8,118.0
2010,DOJ,OLC,12.0,2.0,4.0,9,1,2,0,0,0,0,0,1,31.0
2010,DOJ,OLP,9.0,34.0,1.0,31,1,2,0,0,6,3,4,3,94.0
2010,DOJ,OPR,12.0,13.0,34.0,39,6,0,0,6,3,0,3,0,116.0
2010,DOJ,OSG,21.0,12.0,3.0,18,0,0,0,2,0,2,0,0,58.0
2010,DOJ,OVW,18.0,21.0,4.0,11,3,0,0,0,0,0,0,0,57.0
2010,DOJ,Pardon Attorney,34.0,21.0,5.0,17,0,2,0,0,1,1,0,0,81.0
2010,DOJ,Public Affairs,5.0,4.0,1.0,17,0,1,0,0,4,0,1,4,37.0
2010,DOJ,PRAO,3.0,0.0,0.0,9,0,0,0,0,1,2,0,0,15.0
2010,DOJ,TAX,14.0,20.0,6.0,82,6,1,0,6,26,1,0,1,163.0
2010,DOJ,USMS,727.0,575.0,131.0,211,18,5,11,2,85,15,10,7,1797.0
2010,DOJ,USNCB,17.0,45.0,23.0,50,3,0,0,0,31,3,0,1,173.0
2010,DOJ,USPC,397.0,74.0,1.0,92,1,23,25,0,115,0,0,0,728.0
2010,DOT,FAA,3671.0,1382.0,100.0,1265,29,583,153,12,32,10,0,0,7237.0
2010,DOT,FHWA,161.0,70.0,6.0,28,1,13,3,5,1,5,13,35,341.0
2010,DOT,FMCSA,260.0,599.0,1.0,102,0,40,6,4,2,7,8,0,1029.0
2010,DOT,FRA,161.0,93.0,1.0,77,3,47,0,2,2,0,6,0,392.0
2010,DOT,FTA,60.0,83.0,4.0,43,0,3,0,0,0,0,0,3,196.0
2010,DOT,MARAD,127.0,13.0,1.0,30,3,21,0,0,1,0,0,0,196.0
2010,DOT,NHTSA,70.0,101.0,11.0,23,1,8,18,2,1,2,4,1,242.0
2010,DOT,OIG,5.0,20.0,5.0,29,1,6,0,0,0,0,0,5,71.0
2010,DOT,OST,56.0,56.0,6.0,27,2,5,0,0,0,8,6,73,239.0
2010,DOT,PHMSA,59.0,40.0,0.0,15,0,3,3,0,0,1,1,5,127.0
2010,DOT,RITA,19.0,10.0,2.0,5,2,1,0,1,0,1,0,1,42.0
2010,DOT,SLSDC,3.0,0.0,1.0,5,0,0,0,0,0,0,0,0,9.0
2010,ED,FSA,127.0,29.0,7.0,37,1,18,2,8,22,0,12,0,263.0
2010,ED,IES,8.0,24.0,0.0,7,0,6,1,1,0,0,1,0,48.0
2010,ED,IES-NAGB,4.0,2.0,0.0,0,0,1,0,0,0,0,0,0,7.0
2010,ED,OCFO,5.0,0.0,0.0,0,0,1,0,0,0,0,0,0,6.0
2010,ED,OCFO-CAM,19.0,18.0,1.0,2,0,2,1,0,1,0,1,0,45.0
2010,ED,OCFO-FSS,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,1.0
2010,ED,OCIO,2.0,1.0,0.0,0,0,0,0,0,0,0,0,0,3.0
2010,ED,OCO,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
2010,ED,OCR,16.0,49.0,0.0,3,0,3,0,1,6,1,5,0,84.0
2010,ED,OCR-1 Boston,28.0,39.0,0.0,0,0,1,0,3,0,0,0,0,71.0
2010,ED,OCR-2 New York,104.0,25.0,4.0,5,0,6,0,0,3,0,5,0,152.0
2010,ED,OCR-3 Philadelphia,7.0,46.0,0.0,0,0,3,0,0,1,0,1,0,58.0
2010,ED,OCR-4 Atlanta,34.0,14.0,9.0,3,0,3,0,0,0,0,0,0,63.0
2010,ED,OCR-5 Chicago,61.0,30.0,1.0,5,0,6,1,0,1,0,1,0,106.0
2010,ED,OCR-6 Dallas,28.0,53.0,9.0,1,0,9,0,0,7,1,1,0,109.0
2010,ED,OCR-7 Kansas City,14.0,10.0,2.0,0,0,5,0,0,0,0,0,0,31.0
2010,ED,OCR-8 Denver,9.0,17.0,7.0,3,0,3,0,0,1,0,3,0,43.0
2010,ED,OCR-9 San Francisco,23.0,29.0,2.0,3,0,1,0,0,0,0,0,0,58.0
2010,ED,OCR-10 Seattle,19.0,40.0,2.0,5,0,0,0,0,0,0,0,0,66.0
2010,ED,OCR-12 Cleveland,15.0,7.0,5.0,2,0,5,0,0,2,0,1,0,37.0
2010,ED,OCR-Metro D.C.,10.0,32.0,0.0,0,0,2,0,0,0,0,0,0,44.0
2010,ED,OELA,0.0,2.0,0.0,2,0,1,1,0,0,0,0,0,6.0
2010,ED,OESE,6.0,52.0,0.0,14,2,2,0,0,1,0,0,0,77.0
2010,ED,OGC,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,1.0
2010,ED,OIG,1.0,15.0,20.0,8,1,1,1,0,1,0,2,0,50.0
2010,ED,OII,22.0,14.0,0.0,7,1,4,3,0,1,0,1,0,53.0
2010,ED,OLCA,2.0,2.0,0.0,0,0,0,0,0,0,0,0,0,4.0
2010,ED,OM,5.0,2.0,1.0,2,0,0,0,0,1,3,0,0,14.0
2010,ED,OM-RIMS,74.0,77.0,0.0,32,4,8,33,6,79,18,11,0,342.0
2010,ED,OPE,37.0,48.0,1.0,9,0,4,3,1,1,1,0,0,105.0
2010,ED,OPEPD,1.0,16.0,0.0,4,0,0,0,0,1,0,0,0,22.0
2010,ED,OS,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,3.0
2010,ED,OSDFS,2.0,28.0,0.0,4,0,19,9,2,0,0,0,0,64.0
2010,ED,OSERS,13.0,17.0,0.0,2,0,0,2,0,0,0,0,0,34.0
2010,ED,OUS,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
2010,ED,OVAE,1.0,1.0,0.0,2,0,1,0,0,0,1,1,0,7.0
2010,EEOC,ATLANTA,2.0,430.0,47.0,2,1,4,0,0,1,3,21,78,589.0
2010,EEOC,BIRMINGHAM,2.0,699.0,161.0,6,0,6,0,10,4,1,14,29,932.0
2010,EEOC,CHARLOTTE,5.0,964.0,32.0,0,2,2,0,0,1,0,3,50,1059.0
2010,EEOC,CHICAGO,47.0,634.0,108.0,5,2,2,0,0,1,0,3,136,938.0
2010,EEOC,DALLAS,205.0,1178.0,140.0,8,5,20,3,1,8,2,16,181,1767.0
2010,EEOC,HOUSTON,8.0,726.0,85.0,5,0,3,0,3,0,1,6,63,900.0
2010,EEOC,INDIANAPOLIS,202.0,1568.0,133.0,66,33,5,0,1,48,2,111,240,2409.0
2010,EEOC,LOS ANGELES,22.0,331.0,109.0,165,0,1,1,0,19,0,10,82,740.0
2010,EEOC,MEMPHIS,16.0,677.0,86.0,12,0,1,0,0,0,0,1,16,809.0
2010,EEOC,MIAMI,159.0,723.0,424.0,8,3,3,0,2,21,0,28,335,1706.0
2010,EEOC,NEW YORK,12.0,430.0,57.0,5,2,1,0,0,8,0,5,100,620.0
2010,EEOC,OLC/HDQ,92.0,33.0,92.0,51,12,2,2,11,14,0,12,60,381.0
2010,EEOC,PHILADELPHIA,4.0,942.0,149.0,19,64,6,7,8,1,3,22,111,1336.0
2010,EEOC,PHOENIX,21.0,303.0,95.0,4,6,0,0,0,0,0,2,36,467.0
2010,EEOC,SAN FRANCISCO,24.0,400.0,55.0,22,0,3,0,0,0,1,0,36,541.0
2010,EEOC,ST. LOUIS,85.0,803.0,70.0,2,0,2,0,0,0,0,8,45,1015.0
2010,EEOC,WFO,2.0,68.0,23.0,3,10,0,0,0,0,6,4,18,134.0
2010,EPA,HQ,1099.0,282.0,68.0,202,38,165,11,8,8,7,27,4,1919.0
2010,EPA,Region 1,147.0,8.0,1.0,74,10,13,0,0,0,0,0,0,253.0
2010,EPA,Region 2,410.0,7.0,1.0,997,32,47,5,68,1,0,9,1,1578.0
2010,EPA,Region 3,427.0,26.0,0.0,829,36,121,0,0,0,0,7,0,1446.0
2010,EPA,Region 4,405.0,60.0,5.0,253,21,53,11,10,0,1,9,0,828.0
2010,EPA,Region 5,659.0,58.0,4.0,822,1,37,4,7,2,1,10,0,1605.0
2010,EPA,Region 6,247.0,39.0,4.0,211,46,32,1,0,1,1,3,1,586.0
2010,EPA,Region 7,354.0,18.0,6.0,123,1,23,1,0,0,0,2,0,528.0
2010,EPA,Region 8,197.0,13.0,1.0,75,0,75,2,0,0,0,3,0,366.0
2010,EPA,Region 9,232.0,42.0,8.0,152,33,24,3,8,3,2,8,1,516.0
2010,EPA,Region 10,268.0,54.0,2.0,70,0,47,1,2,1,0,1,0,446.0
2010,Ex-Im Bank,HQ,37.0,41.0,2.0,12,0,3,0,0,0,0,0,0,95.0
2010,FCA,FCA,12.0,1.0,1.0,6,1,2,0,1,0,1,1,0,26.0
2010,FCC,FCC,188.0,123.0,15.0,75,9,55,15,98,3,14,1,2,598.0
2010,FCSIC,FCSIC,1.0,0.0,0.0,7,0,0,0,0,0,0,0,0,8.0
2010,FDIC,FDIC,915.0,175.0,74.0,130,4,246,56,118,0,275,11,0,2004.0
2010,FEC,FEC,25.0,21.0,1.0,27,2,5,0,0,0,0,0,0,81.0
2010,FERC,FERC,25.0,38.0,16.0,15,1,19,0,0,0,0,0,0,114.0
2010,FFIEC,FFIEC,3.0,2.0,1.0,4,9,0,0,0,2,3,0,0,24.0
2010,FHFA,FHFA,13.0,15.0,6.0,61,1,12,0,0,0,1,0,0,109.0
2010,FLRA,FSIP,6.0,0.0,0.0,7,0,0,0,0,0,0,0,0,13.0
2010,FLRA,Authority,14.0,8.0,2.0,6,3,0,0,0,0,0,0,1,34.0
2010,FLRA,IG,1.0,1.0,0.0,0,1,0,0,0,0,0,0,0,3.0
2010,FLRA,OGC,0.0,0.0,0.0,3,4,0,0,0,0,0,0,0,7.0
2010,FLRA,ATRO,0.0,3.0,0.0,0,1,3,0,0,0,0,0,0,7.0
2010,FLRA,BORO,0.0,2.0,0.0,1,0,3,0,0,0,0,0,0,6.0
2010,FLRA,CHRO,1.0,3.0,0.0,6,0,3,0,0,0,0,0,0,13.0
2010,FLRA,DARO,0.0,1.0,0.0,2,1,3,0,0,0,0,0,0,7.0
2010,FLRA,DERO,0.0,1.0,0.0,0,1,3,0,0,0,0,0,0,5.0
2010,FLRA,SFRO,5.0,0.0,0.0,1,0,3,0,0,0,0,0,0,9.0
2010,FLRA,WARO,2.0,0.0,0.0,0,0,4,0,0,0,0,0,0,6.0
2010,FMC,FMC,15.0,1.0,0.0,6,1,10,0,0,0,0,0,0,33.0
2010,FMCS,FMCS,68.0,1.0,0.0,31,1,6,1,3,0,24,6,0,141.0
2010,FMSHRC,FMSHRC,85.0,1.0,0.0,6,3,3,0,0,0,0,0,0,98.0
2010,FOMC,FOMC,16.0,2.0,0.0,8,0,0,0,0,3,0,0,0,29.0
2010,FRB,FRB,445.0,82.0,48.0,83,46,135,0,10,1,0,2,5,857.0
2010,FRTIB,FRTIB,4.0,7.0,3.0,6,0,0,0,0,2,0,0,0,22.0
2010,FTC,FTC,641.0,320.0,29.0,163,2,29,20,12,11,28,10,15,1280.0
2010,GSA,GSA,1033.0,226.0,37.0,75,63,114,21,5,3,30,15,0,1622.0
2010,HHS,ACF,1055.0,146.0,6.0,50,128,114,6,0,0,8,25,0,1538.0
2010,HHS,AOA,11.0,12.0,0.0,4,0,0,0,0,0,0,0,0,27.0
2010,HHS,CMS,24742.0,731.0,6661.0,4899,51,371,1176,111,961,50,260,11652,51665.0
2010,HHS,OIG,129.0,114.0,30.0,60,19,23,13,16,71,62,10,22,569.0
2010,HHS,AHRQ,12.0,23.0,2.0,12,4,4,0,1,1,0,2,0,61.0
2010,HHS,CDC,408.0,248.0,32.0,356,68,136,33,15,14,4,43,15,1372.0
2010,HHS,FDA,7281.0,130.0,98.0,655,19,828,241,7,69,5,189,357,9879.0
2010,HHS,HRSA,278.0,40.0,5.0,16,23,5,0,0,0,2,0,0,369.0
2010,HHS,IHS,13.0,12.0,1.0,10,15,6,0,0,14,0,2,21,94.0
2010,HHS,NIH,813.0,114.0,18.0,141,14,112,23,20,6,20,1,0,1282.0
2010,HHS,SAMHSA,13.0,120.0,0.0,4,6,0,0,0,0,0,0,0,143.0
2010,HHS,OS,79.0,129.0,30.0,39,1628,31,1,15,67,64,8,215,2306.0
2010,HHS,OPHS/PSC,229.0,124.0,10.0,42,41,78,0,16,1,0,1,13,555.0
2010,HUD,HQ,226.0,160.0,32.0,174,34,46,7,4,17,3,77,242,1022.0
2010,HUD,OIG,10.0,58.0,9.0,43,0,5,1,3,1,0,2,3,135.0
2010,HUD,R01,105.0,23.0,0.0,13,15,14,10,11,9,12,11,0,223.0
2010,HUD,R02,162.0,24.0,0.0,34,3,3,5,1,0,3,0,9,244.0
2010,HUD,R03,75.0,48.0,5.0,35,5,5,3,4,3,2,3,7,195.0
2010,HUD,R04,298.0,33.0,0.0,54,12,21,9,10,9,10,11,10,477.0
2010,HUD,R05,100.0,28.0,0.0,41,14,4,9,12,4,9,8,12,241.0
2010,HUD,R06,126.0,28.0,0.0,26,14,7,12,12,6,7,8,5,251.0
2010,HUD,R07,12.0,20.0,0.0,0,0,0,0,0,0,0,0,1,33.0
2010,HUD,R08,62.0,26.0,0.0,3,0,0,2,2,0,0,0,1,96.0
2010,HUD,R09,84.0,49.0,24.0,38,9,2,3,8,2,1,3,5,228.0
2010,HUD,R0X,31.0,45.0,0.0,26,13,0,4,9,0,1,1,2,132.0
2010,IAF,IAF,2.0,2.0,0.0,4,1,0,0,0,0,0,0,0,9.0
2010,IMLS,IMLS,12.0,27.0,0.0,7,0,0,0,0,0,3,1,1,51.0
2010,LSC,LSC,1.0,6.0,0.0,0,0,0,0,0,1,1,0,1,10.0
2010,MCC,MCC,8.0,9.0,2.0,3,1,0,0,0,0,0,0,0,23.0
2010,MSPB,OCB,348.0,27.0,22.0,0,4,0,0,0,0,0,0,0,401.0
2010,NARA,NARA,456.0,143.0,4.0,14420,88,60,7,100,41,13,26,215,15573.0
2010,NASA,ARC,21.0,45.0,4.0,9,0,4,2,0,0,0,3,2,90.0
2010,NASA,DFRC,14.0,7.0,0.0,6,0,1,0,0,0,0,1,3,32.0
2010,NASA,GRC,11.0,10.0,5.0,3,0,2,0,0,0,0,0,4,35.0
2010,NASA,GSFC,75.0,83.0,4.0,23,0,56,2,1,0,0,7,11,262.0
2010,NASA,HQ,53.0,16.0,2.0,32,0,81,4,0,0,0,7,53,248.0
2010,NASA,JPL,10.0,8.0,1.0,9,0,4,4,1,0,0,0,14,51.0
2010,NASA,JSC,97.0,38.0,4.0,27,0,9,17,6,0,0,1,10,209.0
2010,NASA,KSC,24.0,17.0,3.0,10,0,4,2,2,0,0,1,8,71.0
2010,NASA,LaRC,32.0,28.0,2.0,17,0,31,0,0,0,0,1,12,123.0
2010,NASA,MSFC,44.0,47.0,5.0,4,0,4,0,0,0,0,0,4,108.0
2010,NASA,NSSC,17.0,4.0,0.0,0,0,0,0,0,0,0,1,5,27.0
2010,NASA,OGC,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,1.0
2010,NASA,OIG,4.0,13.0,2.0,4,0,0,0,0,0,0,0,3,26.0
2010,NASA,SSC,11.0,3.0,0.0,6,0,2,0,0,0,0,0,1,23.0
2010,NCPC,NCPC,13.0,0.0,0.0,4,0,0,2,0,0,0,0,0,19.0
2010,NCUA,NCUA,71.0,54.0,10.0,17,1,4,1,0,6,0,3,0,167.0
2010,NEA,NEA,35.0,91.0,2.0,14,0,4,0,1,3,2,0,1,153.0
2010,NEH,NEH,3.0,31.0,0.0,18,0,0,0,0,0,0,1,0,53.0
2010,NIGC,NIGC,19.0,23.0,4.0,12,2,10,0,0,1,0,1,0,72.0
2010,NLRB,NLRB,4778.0,505.0,308.0,33,128,146,0,0,0,1,0,0,5899.0
2010,NMB,NMB,7.0,5.0,0.0,15,0,0,0,0,0,0,0,0,27.0
2010,NRPC,NRPC,53.0,26.0,12.0,16,0,15,31,6,10,0,6,1,176.0
2010,NSF,OGC,55.0,247.0,13.0,25,1,20,2,5,1,0,1,7,377.0
2010,NSF,OIG,7.0,70.0,7.0,1,1,0,0,0,2,0,0,0,88.0
2010,NTSB,HQ,51.0,72.0,83.0,48,0,5,0,0,0,0,0,12,271.0
2010,ODNI,ODNI,18.0,42.0,34.0,22,8,1,0,0,4,1,0,22,152.0
2010,OGE,OGE,26.0,16.0,1.0,40,0,2,0,0,0,0,2,0,87.0
2010,OMB,OMB,39.0,39.0,6.0,57,0,0,0,0,0,0,0,0,141.0
2010,ONDCP,OLC,6.0,5.0,0.0,7,1,0,0,0,0,0,0,0,19.0
2010,ONHIR,ONHIR,115.0,8.0,0.0,0,0,0,0,0,0,0,0,0,123.0
2010,OPIC,OPIC,4.0,20.0,2.0,10,1,1,1,0,2,0,2,0,43.0
2010,OPM,OPM,2872.0,82.0,23.0,19,5,14,0,0,0,27,3,11,3056.0
2010,OSC,OSC,32.0,32.0,23.0,32,0,2,6,1,0,0,0,10,138.0
2010,OSHRC,OSHRC,23.0,11.0,0.0,11,0,19,2,0,0,0,0,0,66.0
2010,OSTP,OSTP,15.0,4.0,1.0,16,0,1,0,0,0,0,0,0,37.0
2010,PBGC,PBGC,3989.0,233.0,6.0,26,2,3,0,1,33,1,579,738,5611.0
2010,PC,FOIA Office,113.0,13.0,7.0,27,3,9,3,0,5,0,0,0,180.0
2010,PC,OIG,1.0,3.0,0.0,4,1,1,0,0,0,0,0,0,10.0
2010,PRC,PRC,9.0,0.0,0.0,5,16,0,0,0,0,0,0,0,30.0
2010,SBA,SBA,2601.0,172.0,25.0,144,131,34,7,15,6,21,4,6,3166.0
2010,SEC,HQ,1418.0,395.0,474.0,7481,37,168,72,27,17,23,89,353,10554.0
2010,SIGAR,SIGAR,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
2010,SIGIR,SIGIR,5.0,5.0,2.0,0,0,1,0,0,0,3,0,0,16.0
2010,SSA,SSA,31099.0,1507.0,158.0,120,3,3,43,56,10,11,2,0,33012.0
2010,SSS,SSS,37.0,0.0,0.0,0,0,0,0,0,0,0,0,0,37.0
2010,State,DoS,8709.0,1351.0,3939.0,752,251,159,122,348,1246,988,461,37,18363.0
2010,State,OIG,1.0,14.0,1.0,4,1,2,0,0,0,0,0,0,23.0
2010,STB,STB,2.0,1.0,0.0,3,0,1,0,0,0,0,0,0,7.0
2010,Treasury,BEP,38.0,7.0,2.0,22,7,2,2,0,2,0,0,0,82.0
2010,Treasury,BPD,37.0,21.0,4.0,36,15,1,0,1,6,12,1,0,134.0
2010,Treasury,DO,76.0,182.0,24.0,55,1501,67,150,60,121,41,27,34,2338.0
2010,Treasury,FinCEN,10.0,47.0,95.0,32,8,0,0,0,0,4,1,0,197.0
2010,Treasury,FMS,47.0,95.0,59.0,18,9,4,29,7,1,38,0,14,321.0
2010,Treasury,IRS,4463.0,2124.0,176.0,1204,180,157,142,751,2987,52,64,0,12300.0
2010,Treasury,MINT,55.0,17.0,2.0,23,4,4,7,2,12,1,0,0,127.0
2010,Treasury,OCC,1337.0,153.0,85.0,50,13,20,1,11,1,149,22,84,1926.0
2010,Treasury,OTS,420.0,124.0,30.0,68,0,36,0,9,33,31,1,26,778.0
2010,Treasury,TIGTA,16.0,116.0,5.0,27,3,4,1,2,66,23,4,0,267.0
2010,Treasury,TTB,16.0,26.0,9.0,21,9,5,4,0,0,2,2,0,94.0
2010,TVA,TVA,64.0,75.0,6.0,21,0,4,0,0,0,0,1,0,171.0
2010,U.S. CPSC,U.S. CPSC,2349.0,407.0,58.0,148,140,37,24,0,0,0,31,1,3195.0
2010,U.S. DOL,ADJ BDS,10.0,1.0,0.0,3,2,5,0,0,0,0,0,0,21.0
2010,U.S. DOL,ALJ,97.0,11.0,0.0,18,3,3,1,0,1,2,4,4,144.0
2010,U.S. DOL,ASP,1.0,1.0,0.0,9,0,4,0,0,0,6,1,21,43.0
2010,U.S. DOL,BLS,4.0,3.0,6.0,7,0,0,0,0,0,0,0,0,20.0
2010,U.S. DOL,CFO,2.0,3.0,0.0,8,0,1,0,0,0,3,0,0,17.0
2010,U.S. DOL,EBSA,1833.0,112.0,32.0,161,20,34,4,33,7,3,35,58,2332.0
2010,U.S. DOL,ETA,506.0,161.0,16.0,327,11,9,112,5,24,21,42,111,1345.0
2010,U.S. DOL,ILAB,3.0,2.0,0.0,7,0,0,0,0,0,0,0,0,12.0
2010,U.S. DOL,MSHA,842.0,798.0,86.0,79,0,42,34,3,2,3,31,0,1920.0
2010,U.S. DOL,OASAM,42.0,93.0,4.0,30,0,51,42,0,23,37,12,0,334.0
2010,U.S. DOL,OCIA,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,1.0
2010,U.S. DOL,ODEP,2.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2.0
2010,U.S. DOL,OFCCP,70.0,98.0,14.0,73,5,9,11,0,3,2,0,0,285.0
2010,U.S. DOL,OIG,8.0,29.0,8.0,16,16,1,0,2,2,0,0,2,84.0
2010,U.S. DOL,OLMS,11.0,32.0,17.0,19,0,0,1,1,15,0,0,0,96.0
2010,U.S. DOL,OPA,0.0,0.0,0.0,4,0,0,0,0,0,0,0,0,4.0
2010,U.S. DOL,OSHA,664.0,4020.0,1176.0,1842,167,221,77,104,17,108,216,1,8613.0
2010,U.S. DOL,OWCP,153.0,17.0,15.0,29,1,7,2,3,5,6,12,34,284.0
2010,U.S. DOL,SOL,7.0,6.0,0.0,8,0,2,1,1,0,4,0,1,30.0
2010,U.S. DOL,VETS,20.0,77.0,3.0,1,0,0,3,0,0,3,2,3,112.0
2010,U.S. DOL,WB,2.0,1.0,0.0,7,0,0,0,0,1,0,0,0,11.0
2010,U.S. DOL,WHD,81.0,989.0,135.0,472,7,39,1,1,14,11,142,23,1915.0
2010,US ADF,US ADF,2.0,0.0,0.0,2,0,0,0,0,0,0,0,0,4.0
2010,US RRB,OIG,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,1.0
2010,US RRB,RRB,62.0,4.0,23.0,25,3,0,1,0,0,0,0,0,118.0
2010,USAID,USAID,48.0,104.0,7.0,22,0,10,3,0,0,0,5,35,234.0
2010,USCCR,USCCR,16.0,1.0,0.0,13,0,0,0,0,0,0,0,0,30.0
2010,USDA,AMS,35.0,67.0,6.0,10,2,4,2,0,0,0,0,0,126.0
2010,USDA,APHIS,127.0,470.0,33.0,169,14,49,0,2,0,1,12,32,909.0
2010,USDA,ASCR,3.0,1.0,1.0,1,1,0,0,0,0,0,0,0,7.0
2010,USDA,DM,40.0,18.0,0.0,2,1,2,0,1,0,1,0,0,65.0
2010,USDA,FAS,15.0,6.0,1.0,1,0,1,0,1,0,2,0,0,27.0
2010,USDA,FNCS,50.0,52.0,5.0,28,0,6,1,1,4,14,0,0,161.0
2010,USDA,FS,1323.0,546.0,43.0,229,106,49,19,5,19,5,19,15,2378.0
2010,USDA,FSA,12719.0,370.0,221.0,283,364,66,96,36,32,12,10,38,14247.0
2010,USDA,FSIS,55.0,96.0,2.0,24,7,41,0,1,1,8,5,8,248.0
2010,USDA,GIPSA,45.0,17.0,4.0,6,0,1,0,0,0,0,0,4,77.0
2010,USDA,NAD,4.0,1.0,0.0,0,5,0,0,0,0,0,0,0,10.0
2010,USDA,NRCS,354.0,56.0,20.0,20,5,10,1,0,0,10,0,0,476.0
2010,USDA,OBPA,4.0,0.0,0.0,5,3,0,0,0,0,1,0,0,13.0
2010,USDA,OCFO,13.0,4.0,1.0,3,3,0,0,0,1,2,0,0,27.0
2010,USDA,OGC,2.0,7.0,1.0,9,0,5,0,0,0,0,0,1,25.0
2010,USDA,OIG,9.0,56.0,29.0,30,4,5,1,0,2,0,3,6,145.0
2010,USDA,OSEC,23.0,15.0,0.0,13,11,3,1,8,0,1,0,0,75.0
2010,USDA,RD,462.0,117.0,16.0,29,30,36,3,1,5,2,2,0,703.0
2010,USDA,REE,86.0,20.0,5.0,1,0,0,0,5,1,15,0,3,136.0
2010,USDA,RMA,46.0,30.0,5.0,7,1,11,0,1,2,4,0,0,107.0
2010,USIBWC,USIBWC,16.0,6.0,1.0,6,0,0,0,0,0,0,0,0,29.0
2010,USITC,USITC,17.0,6.0,2.0,11,2,2,0,0,3,3,1,0,47.0
2010,USNRC,USNRC,105.0,100.0,20.0,48,0,22,8,0,5,4,1,30,343.0
2010,USPS,PS,445.0,161.0,183.0,111,71,9,28,41,184,16,17,54,1320.0
2010,USPS,OIG,15.0,121.0,29.0,27,108,17,0,0,1,4,0,0,322.0
