Year,Agency,Component,Number of consultations Received from Other Agencies that Were Pending at Your Agency as of Start of the Fiscal Year,Number of consultations Received from Other Agencies During the Fiscal Year,Number of consultations Received from Other Agencies that Were Processed by Your Agency During the Fiscal Year,Number of consultations Received from Other Agencies that Were Pending at Your Agency as of End of the Fiscal Year
2008,EPA,HQ,5,31,23,13
2008,Ex-Im Bank,Ex-Im Bank,0,4,4,0
2008,FCA,FCA,0,0,0,0
2008,FCC,FCC,0,0,0,0
2008,FCSIC,FCSIC,0,0,0,0
2008,FDIC,FDIC,0,1,1,0
2008,FEC,FEC,0,0,0,0
2008,FERC,FERC,0,0,0,0
2008,FFIEC,FFIEC,0,0,0,0
2008,FLRA,FLRA,0,0,0,0
2008,FMCS,FMCS,0,0,0,0
2008,FMSHRC,FMSHRC,0,0,0,0
2008,FOMC,FOMC,0,0,0,0
2008,FRB,FRB,0,0,0,0
2008,FTC,FTC,0,0,0,0
2008,GSA,GSA,0,0,0,0
2008,HHS,ACF,0,4,4,0
2008,HHS,AOA,0,0,0,0
2008,HHS,CMS,0,0,0,0
2008,HHS,OIG,0,2,2,0
2008,HHS,OPHS,0,0,0,0
2008,HHS,AHRQ,0,0,0,0
2008,HHS,CDC,0,0,0,0
2008,HHS,FDA,0,10,10,0
2008,HHS,HRSA,0,0,0,0
2008,HHS,IHS,0,0,0,0
2008,HHS,NIH,0,3,3,0
2008,HHS,SAMHSA,0,0,0,0
2008,HHS,OS,1,0,1,0
2008,HUD,FO,0,0,0,0
2008,HUD,HQ,0,1,1,0
2008,HUD,IG,0,0,0,0
2008,IAF,IAF,0,0,0,0
2008,IMLS,IMLS,0,0,0,0
2008,MSPB,MSPB,0,0,0,0
2008,NARA,NARA,0,0,0,0
2008,NASA,HQS,0,23,0,23
2008,NCUA,NCUA,0,0,0,0
2008,NEH,NEH,0,0,0,0
2008,NMB,NMB,0,0,0,0
2008,NRPC,NRPC,0,1,0,1
2008,NSF,Foundation,1,1,2,0
2008,NSF,OIG,0,0,0,0
2008,OGE,OGE,0,0,0,0
2008,OMB,OMB,0,24,24,0
2008,ONDCP,OLC,0,0,0,0
2008,OPIC,OPIC,0,1,1,0
2008,OPM,OPM,0,6,5,1
2008,OSHRC,OSHRC,0,0,0,0
2008,OSTP,OSTP,0,0,0,0
2008,SBA,SBA,0,0,0,0
2008,SEC,HQ,0,6,6,0
2008,SSA,SSA,0,0,0,0
2008,SSS,SSS,0,0,0,0
2008,State,DoS,745,1676,1652,769
2008,State,OIG,0,0,0,0
2008,STB,STB,0,0,0,0
2008,Treasury,BEP,0,1,1,0
2008,Treasury,BPD,0,0,0,0
2008,Treasury,DO,0,21,15,6
2008,Treasury,FinCEN,0,1,1,0
2008,Treasury,FMS,0,53,52,1
2008,Treasury,IRS,0,17,17,0
2008,Treasury,MINT,0,1,1,0
2008,Treasury,OCC,0,0,0,0
2008,Treasury,OTS,0,0,0,0
2008,Treasury,TIGTA,0,3,2,1
2008,Treasury,TTB,0,0,0,0
2008,TVA,TVA,0,1,1,0
2008,U.S. CPSC,U.S. CPSC,0,1,1,0
2008,U.S. DOL,ADJ BDS,0,0,0,0
2008,U.S. DOL,ALJ,0,0,0,0
2008,U.S. DOL,ASP,0,0,0,0
2008,U.S. DOL,BLS,0,2,2,0
2008,U.S. DOL,CFO,0,0,0,0
2008,U.S. DOL,EBSA,0,0,0,0
2008,U.S. DOL,ESA,0,0,0,0
2008,U.S. DOL,ETA,0,0,0,0
2008,U.S. DOL,ILAB,0,0,0,0
2008,U.S. DOL,JOB CORP,0,0,0,0
2008,U.S. DOL,MSHA,0,0,0,0
2008,U.S. DOL,OASAM,0,0,0,0
2008,U.S. DOL,OCIA,0,0,0,0
2008,U.S. DOL,ODEP,0,0,0,0
2008,U.S. DOL,OIG,1,4,5,0
2008,U.S. DOL,OPA,0,0,0,0
2008,U.S. DOL,OSBP,0,0,0,0
2008,U.S. DOL,OSHA,0,7,7,0
2008,U.S. DOL,SOL,0,0,0,0
2008,U.S. DOL,VETS,2,0,2,0
2008,U.S. DOL,WB,0,0,0,0
2008,US RRB,OIG,0,0,0,0
2008,US RRB,RRB,0,1,1,0
2008,USIBWC,USIBWC,0,1,1,0
2008,USITC,USITC,0,0,0,0
2008,USNRC,USNRC,0,1,1,0
2008,VA,A&MM (049),0,0,0,0
2008,VA,Admin (03),0,0,0,0
2008,VA,BVA (01),0,0,0,0
2008,VA,OC&LA (009),0,0,0,0
2008,VA,OCFM (00CFM),0,0,0,0
2008,VA,ODM&EEO (06),0,0,0,0
2008,VA,GC (02),0,0,0,0
2008,VA,OHRM (05),0,0,0,0
2008,VA,IG (50),0,0,0,0
2008,VA,NCA (40),0,0,0,0
2008,VA,OASHRA (006),0,0,0,0
2008,VA,OASP&IA (002),0,0,0,0
2008,VA,ODASB (041),0,0,0,0
2008,VA,ODASIA (075),0,0,0,0
2008,VA,OF (047),0,0,0,0
2008,VA,OI&T (005),0,0,0,0
2008,VA,MGMT (004),0,0,0,0
2008,VA,ORM (08),0,0,0,0
2008,VA,OSDBU (00SB),0,0,0,0
2008,VA,P&P (008),0,0,0,0
2008,VA,PA (80),0,0,0,0
2008,VA,S&LE (07),0,1,1,0
2008,VA,SEC (00),0,0,0,0
2008,VA,VBA (20),0,2,2,0
2008,VA,VCS (785),0,0,0,0
2008,VA,VHA (10),0,1,1,0
2009,CEQ,CEQ,0,1,1,0
2009,CFTC,CFTC,0,0,0,0
2009,CIA,CIA,332,895,1032,195
2009,CNCS,CNCS (OGC),0,1,1,0
2009,CO,CO,0,0,0,0
2009,CPPBSD,CPPBSD,0,0,0,0
2009,CSB,CSB,0,0,0,0
2009,DHS,CBP,3,43,46,0
2009,DHS,CRCL,2,2,2,2
2009,DHS,FEMA,10,18,15,13
2009,DHS,FLETC,0,1,1,0
2009,DHS,I&A,0,28,16,12
2009,DHS,ICE,0,205,205,0
2009,DHS,MGMT,0,9,5,4
2009,DHS,NPPD,1,22,21,2
2009,DHS,OGC,0,3,0,3
2009,DHS,OIG,0,6,6,0
2009,DHS,OPS,0,7,7,0
2009,DHS,PLCY,0,8,7,1
2009,DHS,PRIV,3,11,13,1
2009,DHS,S&T,0,13,12,1
2009,DHS,TSA,2,25,22,5
2009,DHS,US-VISIT,2,14,15,1
2009,DHS,USCG,7,27,30,4
2009,DHS,USCIS,17,66,72,11
2009,DHS,USSS,0,2,2,0
2009,DNFSB,OGC,0,0,0,0
2009,DNFSB,OGM,0,0,0,0
2009,DOC,BIS,5,12,15,2
2009,DOC,Census,0,0,0,0
