Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,
BIS,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
Census,1,1,0,0,0,0,0,0,0,0,0,0,0,2,
EDA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ESA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ITA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
MBDA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
NIST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
NOAA,5,2,0,0,0,0,0,0,0,0,0,0,0,7,
NTIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
NTIS,5,0,0,0,0,0,0,0,0,0,0,0,0,5,
OIG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
PTO,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
Total,13,3,0,0,0,0,0,0,0,0,0,0,0,16,
