Year,Agency,Component,Number of Requests Pending as of Start of Fiscal Year,Number of Requests Received in Fiscal Year,Number of Requests Processed in Fiscal Year,Number of Requests Pending as of End of Fiscal Year
2009,U.S. DOL,ETA,62,1212,1194,80
2009,U.S. DOL,ILAB,1,14,15,0
2009,U.S. DOL,JOB CORP,0,49,49,0
2009,U.S. DOL,MSHA,84,1620,1571,133
2009,U.S. DOL,OASAM,27,259,225,61
2009,U.S. DOL,OCIA,0,0,0,0
2009,U.S. DOL,ODEP,0,0,0,0
2009,U.S. DOL,OIG,0,82,66,16
2009,U.S. DOL,OPA,0,4,4,0
2009,U.S. DOL,OSBP,2,0,2,0
2009,U.S. DOL,OSHA,726,8328,8618,436
2009,U.S. DOL,SOL,3,25,18,10
2009,U.S. DOL,VETS,3,116,116,3
2009,U.S. DOL,WB,0,8,8,0
2009,US RRB,OIG,5,7,12,0
2009,US RRB,RRB,1,105,106,0
2009,USAID,USAID,311,311,331,291
2009,USITC,USITC,0,53,50,3
2009,USNRC,USNRC,18,302,297,23
2009,VA,Admin,0,0,0,0
2009,VA,BVA,0,18,15,3
2009,VA,C&LA,0,4,2,2
2009,VA,CFM,9,65,66,8
2009,VA,GC,5,63,49,19
2009,VA,HRM,1,8,5,4
2009,VA,IG,2,319,303,18
2009,VA,Mgmt,0,7,7,0
2009,VA,NCA,2,287,252,37
2009,VA,OAL,217,204,353,68
2009,VA,OASP&IA,0,0,0,0
2009,VA,ODASB,0,3,3,0
2009,VA,ODASIA,0,0,0,0
2009,VA,ODI,0,0,0,0
2009,VA,OF,1,6,3,4
2009,VA,OI&T,15,234,194,55
2009,VA,ORM,0,8,6,2
2009,VA,OSDBU,0,0,0,0
2009,VA,OSP,0,10,10,0
2009,VA,P&P,0,2,0,2
2009,VA,PA,0,0,0,0
2009,VA,SEC,0,6,2,4
2009,VA,VBA,1245,6845,6094,1996
2009,VA,VCS,0,0,0,0
2009,VA,VHA,3235,61343,64123,455
2010,ABMC,ABMC,1,17,18,0
2010,ACUS,ACUS,0,2,2,0
2010,BBG,BBG,2,40,37,5
2010,CEQ,CEQ,5,25,24,6
2010,CFTC,CFTC,14,158,153,19
2010,CIA,CIA,775,3094,2989,880
2010,CIGIE,CIGIE,0,2,2,0
2010,CNCS,CNCS,7,69,72,4
2010,CO,CO,9,36,44,1
2010,CPPBSD,CPPBSD,0,12,12,0
2010,CSB,CSB,30,36,22,44
2010,CSOSA,HQ,173,719,723,169
2010,DHS,CBP,487,18948,18639,796
2010,DHS,CRCL,11,20,24,7
2010,DHS,FEMA,889,760,794,855
2010,DHS,FLETC,36,145,169,12
2010,DHS,I&A,8,46,48,6
2010,DHS,ICE,83,8523,8570,36
2010,DHS,MGMT,10,256,253,13
2010,DHS,NPPD,19,155,127,47
2010,DHS,OGC,19,41,35,25
2010,DHS,OIG,9,187,192,4
2010,DHS,OPS,0,47,47,0
2010,DHS,PLCY,18,37,55,0
2010,DHS,PRIV,95,1113,1163,45
2010,DHS,S&T,2,39,40,1
2010,DHS,TSA,270,716,557,429
2010,DHS,US-VISIT,1,1934,1657,278
2010,DHS,USCG,385,4102,3958,529
2010,DHS,USCIS,24292,91503,100872,14923
2010,DHS,USSS,554,1526,1451,629
2010,DNFSB,OGC,0,5,5,0
2010,DNFSB,OGM,0,14,14,0
2010,DOC,BIS,9,76,83,2
2010,DOC,Census,9,329,298,40
2010,DOC,EDA,4,51,52,3
2010,DOC,ESA,0,13,13,0
2010,DOC,ITA,27,66,86,7
2010,DOC,MBDA,0,12,11,1
2010,DOC,NIST,35,216,202,49
2010,DOC,NOAA,74,652,620,106
2010,DOC,NTIA,0,99,87,12
2010,DOC,NTIS,0,8,8,0
2010,DOC,OIG,1,85,73,13
2010,DOC,OS,10,252,243,19
2010,DOC,PTO,6,254,245,15
2010,DoD,AF,1168,7812,7899,1081
2010,DoD,AFRICOM,3,5,1,7
2010,DoD,ARMY,4437,37081,37681,3837
2010,DoD,ASBCA,0,2,2,0
2010,DoD,CENTCOM,217,337,309,245
2010,DoD,DCAA,10,103,111,2
2010,DoD,DCMA,18,234,200,52
2010,DoD,DeCA,8,258,260,6
2010,DoD,DFAS,21,203,215,9
2010,DoD,DIA,2629,610,938,2301
2010,DoD,DISA,142,558,639,61
2010,DoD,DLA,102,6858,6769,191
2010,DoD,DoDEA,6,59,58,7
2010,DoD,DoDIG,37,416,352,101
2010,DoD,DSS,1,39,40,0
2010,DoD,DTIC,16,90,96,10
2010,DoD,DTRA,26,177,169,34
2010,DoD,EUCOM,59,79,75,63
2010,DoD,JFCOM,65,50,107,8
2010,DoD,NAVY,1694,14303,14410,1587
2010,DoD,NGA,291,244,318,217
2010,DoD,NGB,3,46,47,2
2010,DoD,NORTHCOM,4,55,55,4
2010,DoD,NRO,91,262,302,51
2010,DoD,NSA,365,1243,1065,543
2010,DoD,OSD/JS,1561,1695,1899,1357
2010,DoD,PACOM,34,85,91,28
2010,DoD,SOCOM,172,155,168,159
2010,DoD,SOUTHCOM,81,175,189,67
2010,DoD,STRATCOM,2,101,86,17
2010,DoD,TRANSCOM,58,123,164,17
2010,DoD,TRICARE,11,115,75,51
2010,DOE,BPA,2,118,101,19
2010,DOE,CBFO,1,15,16,0
2010,DOE,CH,5,58,63,0
2010,DOE,EMCBC,6,30,33,3
2010,DOE,GFO,12,197,206,3
2010,DOE,HQ,169,897,851,215
2010,DOE,ID,1,35,36,0
2010,DOE,NETL,9,89,90,8
2010,DOE,NNSA,172,318,300,190
2010,DOE,NR,0,0,0,0
2010,DOE,NRLFO,0,10,9,1
2010,DOE,ORO,23,240,249,14
2010,DOE,OSTI,1,3,2,2
2010,DOE,ROO,1,105,106,0
2010,DOE,SEPA,0,0,0,0
2010,DOE,SPR,0,4,3,1
2010,DOE,SRO,5,57,54,8
2010,DOE,SWPA,0,6,6,0
2010,DOE,WAPA,1,24,24,1
2010,DOI,BIA,156,1378,1410,124
2010,DOI,BLM,111,1094,1023,182
2010,DOI,BOEMRE,35,421,306,150
2010,DOI,BOR,34,274,271,37
2010,DOI,FWS,144,1241,1142,243
2010,DOI,NPS,80,900,895,85
2010,DOI,OIG,253,98,175,176
2010,DOI,OS,129,445,449,125
2010,DOI,OSM,7,42,41,8
2010,DOI,SOL,54,64,75,43
2010,DOI,USGS,15,170,158,27
2010,DOJ,Office of the AG,135,320,273,182
2010,DOJ,Office of the DAG,88,151,123,116
2010,DOJ,Office of the Assoc. AG,23,77,71,29
2010,DOJ,Antitrust,33,86,90,29
2010,DOJ,ATF,126,1455,1485,96
2010,DOJ,BOP,1150,15640,16138,652
2010,DOJ,Civil,60,316,326,50
2010,DOJ,Civil Rights,90,446,450,86
2010,DOJ,COPS,0,73,73,0
2010,DOJ,Criminal,204,930,977,157
2010,DOJ,CRS,0,10,9,1
2010,DOJ,DEA,507,1656,1242,921
2010,DOJ,ENRD,17,84,96,5
2010,DOJ,EOIR,862,17498,17313,1047
2010,DOJ,EOUSA,1450,4667,4638,1479
2010,DOJ,EOUST,13,51,57,7
2010,DOJ,FBI,1778,14957,14665,2070
2010,DOJ,FCSC,0,20,19,1
2010,DOJ,JMD,67,179,199,47
2010,DOJ,NDIC,11,74,79,6
2010,DOJ,NSD,140,185,279,46
2010,DOJ,OCDETF,0,7,1,6
2010,DOJ,ODR,0,9,9,0
2010,DOJ,OFDT,3,34,35,2
2010,DOJ,OIG,10,209,219,0
2010,DOJ,OIP,26,598,552,72
2010,DOJ,OIPL,9,28,34,3
2010,DOJ,OJP,52,486,448,90
2010,DOJ,OLA,106,73,118,61
2010,DOJ,OLC,44,72,31,85
2010,DOJ,OLP,17,92,94,15
2010,DOJ,OPR,18,113,116,15
2010,DOJ,OSG,13,60,58,15
2010,DOJ,OVW,0,59,57,2
2010,DOJ,Pardon Attorney,2,80,81,1
2010,DOJ,Public Affairs,11,39,37,13
2010,DOJ,PRAO,1,16,15,2
2010,DOJ,TAX,16,150,163,3
2010,DOJ,USMS,32,1816,1797,51
2010,DOJ,USNCB,25,163,173,15
2010,DOJ,USPC,85,703,728,60
2010,DOT,FAA,877,7424,7237,1064
2010,DOT,FHWA,48,352,341,59
2010,DOT,FMCSA,107,1087,1029,165
2010,DOT,FRA,149,352,392,109
2010,DOT,FTA,9,196,196,9
2010,DOT,MARAD,197,156,196,157
2010,DOT,NHTSA,13,281,242,52
2010,DOT,OIG,21,69,71,19
2010,DOT,OST,25,238,239,24
2010,DOT,PHMSA,14,156,127,43
2010,DOT,RITA,0,43,42,1
2010,DOT,SLSDC,0,9,9,0
2010,ED,FSA,68,234,263,39
2010,ED,IES,2,53,48,7
2010,ED,IES-NAGB,5,2,7,0
2010,ED,OCFO,4,7,6,5
2010,ED,OCFO-CAM,6,41,45,2
2010,ED,OCFO-FSS,1,1,1,1
2010,ED,OCIO,2,6,3,5
2010,ED,OCO,1,3,0,4
2010,ED,OCR,4,87,84,7
2010,ED,OCR-1 Boston,14,97,71,40
2010,ED,OCR-2 New York,23,146,152,17
2010,ED,OCR-3 Philadelphia,19,45,58,6
2010,ED,OCR-4 Atlanta,12,58,63,7
2010,ED,OCR-5 Chicago,5,103,106,2
2010,ED,OCR-6 Dallas,4,110,109,5
2010,ED,OCR-7 Kansas City,9,33,31,11
2010,ED,OCR-8 Denver,4,41,43,2
2010,ED,OCR-9 San Francisco,3,55,58,0
2010,ED,OCR-10 Seattle,3,63,66,0
2010,ED,OCR-12 Cleveland,0,41,37,4
2010,ED,OCR-Metro D.C.,10,40,44,6
2010,ED,OELA,3,8,6,5
2010,ED,OESE,24,57,77,4
2010,ED,OGC,8,3,1,10
2010,ED,OIG,6,46,50,2
2010,ED,OII,19,45,53,11
2010,ED,OLCA,5,0,4,1
2010,ED,OM,3,14,14,3
2010,ED,OM-RIMS,93,386,342,137
2010,ED,OPE,18,105,105,18
2010,ED,OPEPD,10,27,22,15
2010,ED,OS,9,7,3,13
2010,ED,OSDFS,13,102,64,51
2010,ED,OSERS,8,38,34,12
2010,ED,OUS,0,3,0,3
2010,ED,OVAE,1,7,7,1
2010,EEOC,ATLANTA,35,603,589,49
2010,EEOC,BIRMINGHAM,93,949,932,110
2010,EEOC,CHARLOTTE,44,1135,1059,120
2010,EEOC,CHICAGO,41,938,938,41
2010,EEOC,DALLAS,50,1847,1767,130
2010,EEOC,HOUSTON,48,940,900,88
2010,EEOC,INDIANAPOLIS,102,2429,2409,122
2010,EEOC,LOS ANGELES,15,725,740,0
2010,EEOC,MEMPHIS,59,787,809,37
2010,EEOC,MIAMI,187,1586,1706,67
2010,EEOC,NEW YORK,79,676,620,135
2010,EEOC,OLC/HDQ,19,401,381,39
2010,EEOC,PHILADELPHIA,35,1431,1336,130
2010,EEOC,PHOENIX,27,458,467,18
2010,EEOC,SAN FRANCISCO,15,571,541,45
2010,EEOC,ST. LOUIS,50,1038,1015,73
2010,EEOC,WFO,6,138,134,10
2010,EPA,HQ,574,2053,1919,708
2010,EPA,Region 1,31,250,253,28
2010,EPA,Region 2,323,1758,1578,503
2010,EPA,Region 3,147,1436,1446,137
2010,EPA,Region 4,64,854,828,90
2010,EPA,Region 5,107,1600,1605,102
2010,EPA,Region 6,81,583,586,78
2010,EPA,Region 7,42,530,528,44
2010,EPA,Region 8,22,370,366,26
2010,EPA,Region 9,41,526,516,51
2010,EPA,Region 10,65,449,446,68
2010,Ex-Im Bank,HQ,28,96,95,29
2010,FCA,FCA,0,27,26,1
2010,FCC,FCC,57,593,598,52
2010,FCSIC,FCSIC,0,8,8,0
2010,FDIC,FDIC,224,1987,2004,207
2010,FEC,FEC,17,77,81,13
2010,FERC,FERC,27,103,114,16
2010,FFIEC,FFIEC,0,24,24,0
2010,FHFA,FHFA,9,116,109,16
2010,FLRA,FSIP,0,13,13,0
2010,FLRA,Authority,2,32,34,0
2010,FLRA,IG,0,4,3,1
2010,FLRA,OGC,0,7,7,0
2010,FLRA,ATRO,0,7,7,0
2010,FLRA,BORO,0,6,6,0
2010,FLRA,CHRO,0,13,13,0
2010,FLRA,DARO,0,7,7,0
2010,FLRA,DERO,0,5,5,0
2010,FLRA,SFRO,0,9,9,0
2010,FLRA,WARO,0,6,6,0
2010,FMC,FMC,16,37,33,20
2010,FMCS,FMCS,0,142,141,1
2010,FMSHRC,FMSHRC,1,98,98,1
2010,FOMC,FOMC,0,30,29,1
2010,FRB,FRB,172,757,857,72
2010,FRTIB,FRTIB,2,22,22,2
2010,FTC,FTC,18,1294,1280,32
2010,GSA,GSA,114,1730,1622,222
2010,HHS,ACF,722,1133,1538,317
2010,HHS,AOA,0,27,27,0
2010,HHS,CMS,10312,46586,51665,5233
2010,HHS,OIG,24,563,569,18
2010,HHS,AHRQ,11,57,61,7
2010,HHS,CDC,488,1207,1372,323
2010,HHS,FDA,4880,9690,9879,4691
2010,HHS,HRSA,31,369,369,31
2010,HHS,IHS,31,98,94,35
2010,HHS,NIH,114,1253,1282,85
2010,HHS,SAMHSA,81,216,143,154
2010,HHS,OS,722,2144,2306,560
2010,HHS,OPHS/PSC,217,496,555,158
2010,HUD,HQ,192,975,1022,145
2010,HUD,OIG,7,145,135,17
2010,HUD,R01,104,122,223,3
2010,HUD,R02,25,219,244,0
2010,HUD,R03,16,183,195,4
2010,HUD,R04,8,474,477,5
2010,HUD,R05,9,232,241,0
2010,HUD,R06,16,235,251,0
2010,HUD,R07,3,30,33,0
2010,HUD,R08,0,96,96,0
2010,HUD,R09,20,208,228,0
2010,HUD,R0X,6,134,132,8
2010,IAF,IAF,1,9,9,1
2010,IMLS,IMLS,5,49,51,3
2010,LSC,LSC,7,35,10,32
2010,MCC,MCC,1,22,23,0
2010,MSPB,OCB,5,400,401,4
2010,NARA,NARA,6856,15781,15573,7064
2010,NASA,ARC,15,83,90,8
2010,NASA,DFRC,4,28,32,0
2010,NASA,GRC,10,28,35,3
2010,NASA,GSFC,113,175,262,26
2010,NASA,HQ,194,141,248,87
2010,NASA,JPL,3,48,51,0
2010,NASA,JSC,3,230,209,24
2010,NASA,KSC,4,77,71,10
2010,NASA,LaRC,74,59,123,10
2010,NASA,MSFC,4,111,108,7
2010,NASA,NSSC,0,29,27,2
2010,NASA,OGC,0,3,1,2
2010,NASA,OIG,6,21,26,1
2010,NASA,SSC,0,25,23,2
2010,NCPC,NCPC,0,19,19,0
2010,NCUA,NCUA,14,163,167,10
2010,NEA,NEA,14,146,153,7
2010,NEH,NEH,5,52,53,4
2010,NIGC,NIGC,6,70,72,4
2010,NLRB,NLRB,75,5905,5899,81
2010,NMB,NMB,0,28,27,1
2010,NRPC,NRPC,10,203,176,37
2010,NSF,OGC,16,412,377,51
2010,NSF,OIG,0,88,88,0
2010,NTSB,HQ,48,315,271,92
2010,ODNI,ODNI,67,221,152,136
2010,OGE,OGE,4,89,87,6
2010,OMB,OMB,15,147,141,21
2010,ONDCP,OLC,0,19,19,0
2010,ONHIR,ONHIR,4,122,123,3
2010,OPIC,OPIC,1,44,43,2
2010,OPM,OPM,55,3009,3056,8
2010,OSC,OSC,23,120,138,5
2010,OSHRC,OSHRC,6,61,66,1
2010,OSTP,OSTP,1,44,37,8
2010,PBGC,PBGC,152,5834,5611,375
2010,PC,FOIA Office,2,188,180,10
2010,PC,OIG,0,10,10,0
2010,PRC,PRC,1,30,30,1
2010,SBA,SBA,22,3162,3166,18
2010,SEC,HQ,492,10461,10554,399
2010,SIGAR,SIGAR,0,4,0,4
2010,SIGIR,SIGIR,0,16,16,0
2010,SSA,SSA,849,32997,33012,834
2010,SSS,SSS,0,37,37,0
2010,State,DoS,9314,30183,18363,21134
2010,State,OIG,1,23,23,1
2010,STB,STB,1,7,7,1
2010,Treasury,BEP,0,82,82,0
2010,Treasury,BPD,0,135,134,1
2010,Treasury,DO,1766,922,2338,350
2010,Treasury,FinCEN,2,196,197,1
2010,Treasury,FMS,2,332,321,13
2010,Treasury,IRS,881,12027,12300,608
2010,Treasury,MINT,2,129,127,4
2010,Treasury,OCC,83,1946,1926,103
2010,Treasury,OTS,44,774,778,40
2010,Treasury,TIGTA,16,274,267,23
2010,Treasury,TTB,1,94,94,1
2010,TVA,TVA,19,165,171,13
2010,U.S. CPSC,U.S. CPSC,343,3220,3195,368
2010,U.S. DOL,ADJ BDS,1,21,21,1
2010,U.S. DOL,ALJ,5,142,144,3
2010,U.S. DOL,ASP,54,5,43,16
2010,U.S. DOL,BLS,2,22,20,4
2010,U.S. DOL,CFO,2,17,17,2
2010,U.S. DOL,EBSA,101,2290,2332,59
2010,U.S. DOL,ETA,99,1309,1345,63
2010,U.S. DOL,ILAB,1,11,12,0
2010,U.S. DOL,MSHA,133,1990,1920,203
2010,U.S. DOL,OASAM,61,314,334,41
2010,U.S. DOL,OCIA,0,1,1,0
2010,U.S. DOL,ODEP,0,2,2,0
2010,U.S. DOL,OFCCP,28,270,285,13
2010,U.S. DOL,OIG,16,77,84,9
2010,U.S. DOL,OLMS,11,88,96,3
2010,U.S. DOL,OPA,0,9,4,5
2010,U.S. DOL,OSHA,436,8463,8613,286
2010,U.S. DOL,OWCP,20,270,284,6
2010,U.S. DOL,SOL,23,30,30,23
2010,U.S. DOL,VETS,6,114,112,8
2010,U.S. DOL,WB,0,11,11,0
2010,U.S. DOL,WHD,171,1942,1915,198
2010,US ADF,US ADF,0,4,4,0
2010,US RRB,OIG,0,1,1,0
2010,US RRB,RRB,0,119,118,1
2010,USAID,USAID,283,286,234,335
2010,USCCR,USCCR,2,40,30,12
2010,USDA,AMS,15,126,126,15
2010,USDA,APHIS,462,708,909,261
2010,USDA,ASCR,2,5,7,0
2010,USDA,DM,8,63,65,6
2010,USDA,FAS,1,30,27,4
2010,USDA,FNCS,6,177,161,22
2010,USDA,FS,265,2771,2378,658
2010,USDA,FSA,141,14267,14247,161
2010,USDA,FSIS,160,387,248,299
2010,USDA,GIPSA,4,77,77,4
2010,USDA,NAD,0,10,10,0
2010,USDA,NRCS,5,475,476,4
2010,USDA,OBPA,0,13,13,0
2010,USDA,OCFO,1,27,27,1
2010,USDA,OGC,11,24,25,10
2010,USDA,OIG,27,121,145,3
2010,USDA,OSEC,18,83,75,26
2010,USDA,RD,60,750,703,107
2010,USDA,REE,6,144,136,14
2010,USDA,RMA,10,110,107,13
2010,USIBWC,USIBWC,3,27,29,1
2010,USITC,USITC,3,46,47,2
2010,USNRC,USNRC,23,342,343,22
2010,USPS,PS,87,1323,1320,90
2010,USPS,OIG,0,329,322,7
2010,USPS,PIS,36,356,376,16
2010,USTDA,USTDA,9,21,11,19
2010,USTR,USTR,24,41,53,12
2010,VA,Admin,0,1,1,0
2010,VA,BVA,2,19,20,1
2010,VA,C&LA,2,5,7,0
2010,VA,CFM,5,100,81,24
2010,VA,GC,5,40,36,9
2010,VA,HRM,4,10,2,12
2010,VA,IG,14,232,245,1
2010,VA,Mgmt,0,9,9,0
2010,VA,NCA,22,290,288,24
2010,VA,OAL,38,176,171,43
2010,VA,OASHRA,0,3,3,0
2010,VA,OASP&IA,0,1,1,0
2010,VA,ODASB,0,0,0,0
2010,VA,ODASIA,0,0,0,0
2010,VA,ODI,0,0,0,0
2010,VA,OF,4,37,39,2
2010,VA,OI&T,12,175,170,17
2010,VA,ORM,1,23,24,0
2010,VA,OSDBU,0,5,1,4
2010,VA,OSP,0,7,7,0
2010,VA,P&P,1,2,3,0
2010,VA,PA,0,1,1,0
2010,VA,SEC,2,16,11,7
2010,VA,VBA,568,9872,9940,500
2010,VA,VHA,435,18103,17797,741
2011,ABMC,ABMC,0,26,25,1
2011,ACUS,ACUS,0,7,7,0
2011,AFRH,AFRH,0,4,4,0
2011,BBG,BBG,5,75,78,2
2011,CEQ,CEQ,6,41,23,24
2011,CFTC,CFTC,19,168,145,42
2011,CIA,CIA,880,3269,3164,985
2011,CIGIE,CIGIE,0,23,19,4
2011,CNCS,CNCS,4,69,69,4
2011,CO,CO,1,44,40,5
2011,CPPBSD,CPPBSD,0,20,19,1
2011,CSB,CSB,44,48,49,43
2011,CSOSA,CSOSA,169,756,766,159
2011,DHS,CBP,796,32107,27818,5085
2011,DHS,CRCL,7,73,74,6
2011,DHS,FEMA,855,820,1139,536
2011,DHS,FLETC,12,134,141,5
2011,DHS,I&A,5,71,54,22
2011,DHS,ICE,36,16502,16488,50
2011,DHS,MGMT,13,180,182,11
2011,DHS,NPPD,47,318,270,95
2011,DHS,OGC,20,43,58,5
2011,DHS,OIG,4,175,170,9
2011,DHS,OPS,0,37,37,0
2011,DHS,PLCY,0,26,24,2
2011,DHS,PRIV,45,1317,1327,35
2011,DHS,S&T,1,33,33,1
2011,DHS,TSA,429,926,694,661
2011,DHS,US-VISIT,118,2570,2681,7
2011,DHS,USCG,530,3882,3708,704
2011,DHS,USCIS,14921,115545,89835,40631
2011,DHS,USSS,629,897,898,628
2011,DNFSB,OGC,0,5,5,0
2011,DNFSB,OGM,0,19,17,2
2011,DOC,BIS,2,29,31,0
2011,DOC,Census,40,340,351,29
2011,DOC,EDA,4,67,68,3
2011,DOC,ESA,0,10,10,0
2011,DOC,ITA,7,71,46,32
2011,DOC,MBDA,1,4,2,3
2011,DOC,NIST,48,232,261,19
2011,DOC,NOAA,140,709,670,179
2011,DOC,NTIA,14,83,87,10
2011,DOC,NTIS,0,13,13,0
2011,DOC,OIG,13,81,93,1
2011,DOC,OS,19,261,274,6
2011,DOC,PTO,15,302,303,14
2011,DoD,AF,1035,7170,7205,1000
2011,DoD,AFRICOM,5,22,8,19
2011,DoD,ARMY,3561,38712,39967,2306
2011,DoD,ASBCA,0,3,3,0
2011,DoD,CENTCOM,245,297,350,192
2011,DoD,DCAA,2,105,105,2
2011,DoD,DCMA,52,244,221,75
2011,DoD,DeCA,6,179,167,18
2011,DoD,DFAS,9,145,145,9
2011,DoD,DIA,2305,730,1405,1630
2011,DoD,DISA,53,244,268,29
2011,DoD,DLA,179,7302,7412,69
2011,DoD,DoD IG,101,434,315,220
2011,DoD,DoDEA,7,73,75,5
2011,DoD,DSS,0,54,53,1
2011,DoD,DTIC,10,95,100,5
2011,DoD,DTRA,33,129,145,17
2011,DoD,EUCOM,58,81,78,61
2011,DoD,JFCOM,11,41,52,0
2011,DoD,NAVY,1587,14203,13599,2191
2011,DoD,NGA,217,128,194,151
2011,DoD,NGB,2,113,94,21
2011,DoD,NORTHCOM,9,39,39,9
2011,DoD,NRO,51,210,214,47
2011,DoD,NSA,543,1121,1110,554
2011,DoD,OSD/JS,1347,1543,1632,1258
2011,DoD,PACOM,24,74,60,38
2011,DoD,SOCOM,159,198,186,171
2011,DoD,SOUTHCOM,67,168,137,98
2011,DoD,STRATCOM,9,42,51,0
2011,DoD,TRANSCOM,17,107,106,18
2011,DoD,TRICARE,51,111,152,10
2011,DOE,BPA,19,115,125,9
2011,DOE,CBFO,0,7,6,1
2011,DOE,CH,0,66,65,1
2011,DOE,EMCBC,3,38,38,3
2011,DOE,GFO,3,255,242,16
2011,DOE,HQ,215,1012,931,296
2011,DOE,ID,0,35,32,3
2011,DOE,NETL,8,69,71,6
2011,DOE,NNSA,190,281,272,199
2011,DOE,NR,0,0,0,0
2011,DOE,NRLFO,1,17,14,4
2011,DOE,ORO,14,219,223,10
2011,DOE,OSTI,2,4,5,1
2011,DOE,ROO,0,81,78,3
2011,DOE,SEPA,0,5,5,0
2011,DOE,SPR,1,13,14,0
2011,DOE,SRO,8,57,62,3
2011,DOE,SWPA,0,6,3,3
2011,DOE,WAPA,1,35,36,0
2011,DOI,BIA,122,1385,1383,124
2011,DOI,BLM,160,1061,1040,181
2011,DOI,BOEMRE,148,229,280,97
2011,DOI,BOR,37,277,278,36
2011,DOI,FWS,181,1192,1188,185
2011,DOI,NPS,92,858,835,115
2011,DOI,OIG,176,56,154,78
2011,DOI,OS,134,472,480,126
2011,DOI,OSM,9,69,61,17
2011,DOI,SOL,43,50,42,51
2011,DOI,USGS,28,160,168,20
2011,DOJ,Office of the AG,181,375,343,213
2011,DOJ,Office of the DAG,118,223,184,157
2011,DOJ,Office of the Assoc. AG,30,118,102,46
2011,DOJ,Antitrust,29,80,75,34
2011,DOJ,ATF,97,1287,1269,115
2011,DOJ,BOP,1325,15490,15925,890
2011,DOJ,Civil,49,402,396,55
2011,DOJ,Civil Rights,88,569,445,212
2011,DOJ,COPS,0,53,53,0
2011,DOJ,Criminal,157,838,883,112
2011,DOJ,CRS,1,10,11,0
2011,DOJ,DEA,885,1325,1442,768
2011,DOJ,ENRD,5,109,107,7
2011,DOJ,EOIR,1047,20878,20414,1511
2011,DOJ,EOUSA,1439,4434,4896,977
2011,DOJ,EOUST,7,70,72,5
2011,DOJ,FBI,1713,11089,11413,1389
2011,DOJ,FCSC,1,31,31,1
2011,DOJ,JMD,45,142,176,11
2011,DOJ,NDIC,6,54,56,4
2011,DOJ,NSD,46,289,305,30
2011,DOJ,OCDETF,6,37,42,1
2011,DOJ,ODR,0,12,11,1
2011,DOJ,OFDT,2,19,19,2
2011,DOJ,OIG,0,243,234,9
2011,DOJ,OIP,74,433,476,31
2011,DOJ,OIPL,3,40,40,3
2011,DOJ,OJP,83,447,490,40
2011,DOJ,OLA,64,92,100,56
2011,DOJ,OLC,82,77,123,36
2011,DOJ,OLP,15,81,85,11
2011,DOJ,OPR,16,109,102,23
2011,DOJ,OSG,15,114,114,15
2011,DOJ,OVW,2,69,69,2
2011,DOJ,Pardon Attorney,1,103,104,0
2011,DOJ,Public Affairs,13,48,46,15
2011,DOJ,PRAO,2,25,27,0
2011,DOJ,TAX,3,107,109,1
2011,DOJ,USMS,51,2304,2276,79
2011,DOJ,USNCB,15,160,165,10
2011,DOJ,USPC,70,717,762,25
2011,DOT,FAA,998,8367,8483,882
2011,DOT,FHWA,59,429,410,78
2011,DOT,FMCSA,168,1774,1586,356
2011,DOT,FRA,109,316,362,63
2011,DOT,FTA,9,281,272,18
2011,DOT,MARAD,157,119,180,96
2011,DOT,NHTSA,52,216,239,29
2011,DOT,OIG,19,85,89,15
2011,DOT,OST,24,257,244,37
2011,DOT,PHMSA,43,161,167,37
2011,DOT,RITA,2,41,42,1
2011,DOT,SLSDC,0,18,18,0
2011,ED,FSA,39,287,325,1
2011,ED,IES,7,40,47,0
2011,ED,IES-NAGB,0,3,3,0
2011,ED,OCFO,5,11,10,6
2011,ED,OCFO-CAM,3,48,46,5
2011,ED,OCIO,5,4,9,0
2011,ED,OCO,4,7,6,5
2011,ED,OCR,7,99,106,0
2011,ED,OCR-1 Boston,40,158,135,63
2011,ED,OCR-2 New York,17,150,136,31
2011,ED,OCR-3 Philadelphia,6,71,71,6
2011,ED,OCR-4 Atlanta,7,64,69,2
2011,ED,OCR-5 Chicago,2,131,132,1
2011,ED,OCR-6 Dallas,5,84,89,0
2011,ED,OCR-7 Kansas City,11,39,41,9
2011,ED,OCR-8 Denver,2,60,58,4
2011,ED,OCR-9 San Francisco,0,64,62,2
2011,ED,OCR-10 Seattle,0,117,116,1
2011,ED,OCR-12 Cleveland,4,42,45,1
2011,ED,OCR-Metro D.C.,6,88,81,13
2011,ED,OELA,5,10,11,4
2011,ED,OESE,4,76,80,0
2011,ED,OGC,10,16,10,16
2011,ED,OIG,2,58,49,11
2011,ED,OII,11,43,54,0
2011,ED,OLCA,1,6,1,6
2011,ED,OM,3,43,35,11
2011,ED,OM-PIRMS,137,199,276,60
2011,ED,OPE,18,153,168,3
2011,ED,OPEPD,15,13,19,9
2011,ED,OS,13,71,9,75
2011,ED,OSDFS,51,78,127,2
2011,ED,OSERS,12,42,43,11
2011,ED,OUS,3,15,5,13
2011,ED,OVAE,1,11,12,0
2011,EEOC,ATLANTA,51,628,652,27
2011,EEOC,BIRMINGHAM,110,1384,1338,156
2011,EEOC,CHARLOTTE,129,1172,1199,102
2011,EEOC,CHICAGO,41,811,815,37
2011,EEOC,DALLAS,128,1897,1886,139
