Year,Agency,Component,Number of Requests Pending as of Start of Fiscal Year,Number of Requests Received in Fiscal Year,Number of Requests Processed in Fiscal Year,Number of Requests Pending as of End of Fiscal Year
2008,DOE,CBFO,0,12,11,1
2008,DOE,CH,2,47,47,2
2008,DOE,EMCBC,4,33,28,9
2008,DOE,GFO,2,48,43,7
2008,DOE,HQ,210,504,589,125
2008,DOE,ID,3,39,40,2
2008,DOE,NETL,5,48,50,3
2008,DOE,NNSA/AL,102,354,321,135
2008,DOE,NR,2,9,7,4
2008,DOE,ORO,60,277,323,14
2008,DOE,OSTI,0,6,6,0
2008,DOE,PNSO,2,8,10,0
2008,DOE,RL,9,90,98,1
2008,DOE,SEPA,0,2,2,0
2008,DOE,SPR,0,10,8,2
2008,DOE,SROO,12,37,47,2
2008,DOE,SWPA,0,7,7,0
2008,DOE,WAPA,2,14,15,1
2008,DOI,BIA,179,934,923,190
2008,DOI,BLM,110,990,996,104
2008,DOI,BOR,9,200,187,22
2008,DOI,FWS,97,802,790,109
2008,DOI,MMS,27,180,183,24
2008,DOI,NPS,38,869,850,57
2008,DOI,OIG,255,81,73,263
2008,DOI,OS,68,477,476,69
2008,DOI,OSM,5,54,56,3
2008,DOI,SOL,49,80,66,63
2008,DOI,USGS,8,143,150,1
2008,DOJ,Office of the AG,109,149,156,102
2008,DOJ,Office of the DAG,87,66,88,65
2008,DOJ,Office of the Assoc. AG,9,27,25,11
2008,DOJ,Antitrust,47,101,120,28
2008,DOJ,ATF,66,1606,1643,29
2008,DOJ,BOP,1332,14497,14908,921
2008,DOJ,Civil,9,287,267,29
2008,DOJ,Civil Rights,41,430,421,50
2008,DOJ,COPS,0,51,51,0
2008,DOJ,Criminal,832,918,1422,328
2008,DOJ,CRS,0,11,11,0
2008,DOJ,DEA,380,1689,1301,768
2008,DOJ,ENRD,26,104,112,18
2008,DOJ,EOIR,969,13236,13580,625
2008,DOJ,EOUSA,1741,4210,4578,1373
2008,DOJ,EOUST,24,51,41,34
2008,DOJ,FBI,1952,17241,17717,1476
2008,DOJ,FCSC,0,15,15,0
2008,DOJ,JMD,31,310,312,29
2008,DOJ,NDIC,6,66,65,7
2008,DOJ,NSD,20,217,174,63
2008,DOJ,ODR,0,13,13,0
2008,DOJ,OFDT,2,55,53,4
2008,DOJ,OIG,17,213,217,13
2008,DOJ,OIP,25,487,494,18
2008,DOJ,OIPL,3,10,8,5
2008,DOJ,OJP,17,350,326,41
2008,DOJ,OLA,49,70,76,43
2008,DOJ,OLC,25,57,65,17
2008,DOJ,OLP,34,80,97,17
2008,DOJ,OPR,19,81,78,22
2008,DOJ,OSG,5,143,148,0
2008,DOJ,OVW,1,35,36,0
2008,DOJ,Pardon Attorney,0,78,70,8
2008,DOJ,Public Affairs,5,15,12,8
2008,DOJ,PRAO,1,15,16,0
2008,DOJ,TAX,3,196,197,2
2008,DOJ,USMS,24,1416,1406,34
2008,DOJ,USNCB,0,219,219,0
2008,DOJ,USPC,48,800,734,114
2008,DOT,FAA,1270,6975,7202,1043
2008,DOT,FHWA,51,469,472,48
2008,DOT,FMCSA,254,998,1082,170
2008,DOT,FRA,103,418,392,129
2008,DOT,FTA,11,212,196,27
2008,DOT,MARAD,159,144,133,170
2008,DOT,NHTSA,13,199,190,22
2008,DOT,OIG,84,82,94,72
2008,DOT,OST,197,276,408,65
2008,DOT,PHMSA,94,120,168,46
2008,DOT,RITA,2,46,45,3
2008,DOT,SLSDC,1,19,20,0
2008,ED,FSA,90,251,284,57
2008,ED,IES,7,40,46,1
2008,ED,OCFO,4,6,9,1
2008,ED,OCFO-CAM,38,81,93,26
2008,ED,OCFO-FSS,0,7,1,6
2008,ED,OCIO,3,5,8,0
2008,ED,OCO,1,3,1,3
2008,ED,OCR,8,54,61,1
2008,ED,OCR-Atlanta,2,61,54,9
2008,ED,OCR-Boston,5,118,119,4
2008,ED,OCR-Chicago,4,91,93,2
2008,ED,OCR-Cleveland,0,56,56,0
2008,ED,OCR-Dallas,2,76,75,3
2008,ED,OCR-Denver,2,52,54,0
2008,ED,OCR-Kansas City,8,12,15,5
2008,ED,OCR-Metro,2,75,71,6
2008,ED,OCR-New York,33,139,142,30
2008,ED,OCR-Philadelphia,9,74,61,22
2008,ED,OCR-San Francisco,2,59,61,0
2008,ED,OCR-Seattle,4,92,96,0
2008,ED,OELA,4,22,18,8
2008,ED,OESE,60,51,98,13
2008,ED,OGC,9,8,10,7
2008,ED,OIG,6,43,47,2
2008,ED,OII,40,40,74,6
2008,ED,OLCA,3,1,3,1
2008,ED,OM,3,40,43,0
2008,ED,OM-RIMS,241,73,268,46
2008,ED,OPE,16,92,87,21
2008,ED,OPEPD,2,10,4,8
2008,ED,OS,4,8,3,9
2008,ED,OSDFS,24,92,83,33
2008,ED,OSERS,18,81,87,12
2008,ED,OUS,2,0,1,1
2008,ED,OVAE,3,8,10,1
2008,EPA,HQ,441,2164,2080,525
2008,EPA,Region 1,19,278,279,18
2008,EPA,Region 2,577,2269,2529,317
2008,EPA,Region 3,158,1565,1548,175
2008,EPA,Region 4,70,736,756,50
2008,EPA,Region 5,119,1730,1712,137
2008,EPA,Region 6,128,640,584,184
2008,EPA,Region 7,65,642,664,43
2008,EPA,Region 8,40,381,399,22
2008,EPA,Region 9,61,676,688,49
2008,EPA,Region 10,49,411,396,64
2008,Ex-Im Bank,Ex-Im Bank,13,93,97,9
2008,FCA,FCA,2,26,28,0
2008,FCC,FCC,50,745,730,65
2008,FCSIC,FCSIC,0,6,6,0
2008,FDIC,FDIC,35,807,780,62
2008,FEC,FEC,26,64,82,8
2008,FERC,FERC,11,111,96,26
2008,FFIEC,FFIEC,0,0,0,0
2008,FLRA,FSIP,0,9,9,0
2008,FLRA,Authority,12,33,34,11
2008,FLRA,IG,0,1,1,0
2008,FLRA,OGC,0,7,7,0
2008,FLRA,ATRO,0,7,7,0
2008,FLRA,BORO,0,9,9,0
2008,FLRA,CHRO,1,3,4,0
2008,FLRA,DARO,0,1,1,0
2008,FLRA,DERO,0,2,2,0
2008,FLRA,SFRO,0,3,1,2
2008,FLRA,WARO,0,2,2,0
2008,FMC,FMC,3,10,2,11
2008,FMCS,FMCS,1,107,107,1
2008,FMSHRC,FMSHRC,0,61,59,2
2008,FOMC,FOMC,0,21,21,0
2008,FRB,FRB,5,836,836,5
2008,FTC,FTC,2,1184,1178,8
2008,GSA,GSA,86,1461,1457,90
2008,HHS,ACF,374,328,146,546
2008,HHS,AOA,0,15,14,1
2008,HHS,CMS,7945,43792,41260,10477
2008,HHS,OIG,0,124,109,15
2008,HHS,OPHS,159,465,328,296
2008,HHS,AHRQ,7,61,63,5
2008,HHS,CDC,404,1539,1357,586
2008,HHS,FDA,17484,9432,20348,6568
2008,HHS,HRSA,26,305,303,28
2008,HHS,IHS,36,77,64,49
2008,HHS,NIH,170,1146,1164,152
2008,HHS,SAMHSA,25,133,107,51
2008,HHS,OS,1124,882,1320,686
2008,HUD,FO,325,1608,1673,260
2008,HUD,HQ,394,1138,1164,368
2008,HUD,IG,45,253,229,69
2008,IAF,IAF,1,5,6,0
2008,IMLS,IMLS,4,43,44,3
2008,MSPB,MSPB,15,358,367,6
2008,NARA,NARA,5177,14075,13472,5780
2008,NASA,ARC,58,93,109,42
2008,NASA,DFRC,2,15,16,1
2008,NASA,GRC,1,55,49,7
2008,NASA,GSFC,41,162,171,32
2008,NASA,HQS,138,354,282,210
2008,NASA,JPL,6,53,35,24
2008,NASA,JSC,16,217,231,2
2008,NASA,KSC,4,144,144,4
2008,NASA,LaRC,59,37,38,58
2008,NASA,MSFC,0,123,122,1
2008,NASA,NSSC,1,14,15,0
2008,NASA,OIG,5,40,37,8
2008,NASA,SSC,0,9,9,0
2008,NCUA,NCUA,9,149,153,5
2008,NEH,NEH,4,22,24,2
2008,NIGC,NIGC,3,107,104,6
2008,NMB,NMB,0,16,16,0
2008,NRPC,NRPC,10,258,240,28
2008,NSF,Foundation,2,314,315,1
2008,NSF,OIG,0,39,37,2
2008,OGE,OGE,1,44,42,3
2008,OMB,OMB,11,136,142,5
2008,ONDCP,OLC,0,44,44,0
2008,OPIC,OPIC,5,45,50,0
2008,OPM,OPM,986,6236,7123,99
2008,OSHRC,OSHRC,1,78,74,5
2008,OSTP,OSTP,15,23,20,18
2008,PC,FOIA Office,4,139,121,22
2008,PC,OIG,0,14,14,0
2008,PRC,PRC,1,31,32,0
2008,SBA,SBA,31,2637,2640,28
2008,SEC,HQ,6909,9586,15596,899
2008,SSA,SSA,1282,34444,34666,1060
2008,SSS,SSS,0,55,55,0
2008,State,DoS,4288,5864,5532,4620
2008,State,OIG,9,45,45,9
2008,STB,STB,1,24,24,1
2008,Treasury,BEP,2,83,85,0
2008,Treasury,BPD,0,141,141,0
2008,Treasury,DO,1275,902,620,1557
2008,Treasury,FinCEN,11,168,177,2
2008,Treasury,FMS,4,262,257,9
2008,Treasury,IRS,1675,14898,15590,983
2008,Treasury,MINT,4,103,106,1
2008,Treasury,OCC,0,3233,3210,23
2008,Treasury,OTS,78,779,800,57
2008,Treasury,TIGTA,9,253,246,16
2008,Treasury,TTB,7,121,120,8
2008,TVA,TVA,16,143,140,19
2008,U.S. CPSC,U.S. CPSC,280,3930,3837,373
2008,U.S. DOL,ADJ BDS,7,22,27,2
2008,U.S. DOL,ALJ,12,156,162,6
2008,U.S. DOL,ASP,4,5,8,1
2008,U.S. DOL,BLS,1,31,32,0
2008,U.S. DOL,CFO,0,12,12,0
2008,U.S. DOL,EBSA,7,2123,2110,20
2008,U.S. DOL,ESA,260,2996,3096,160
2008,U.S. DOL,ETA,191,817,946,62
2008,U.S. DOL,ILAB,5,11,15,1
2008,U.S. DOL,JOB CORP,3,5,8,0
2008,U.S. DOL,MSHA,111,1564,1591,84
2008,U.S. DOL,OASAM,57,213,243,27
