Component,Simple,Simple.1,Simple.2,Simple.3,Complex,Complex.1,Complex.2,Complex.3,Expedited,Expedited.1,Expedited.2
Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days
10,12,1,48,136,151,50,366,0,0,0,0
9,11,1,318,0,0,0,0,20,20,20,20
10,13,1,571,69,109,12,684,9,7,1,24
Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days
12,13,,,17,86,,,44,20,,
6,36,1,1725,30,41,1,1579,5,21,1,290
2,2,1,3,8,13,2,37,0,0,0,0
19,34,1,135,23,138,1,819,0,0,0,0
7,7,1,22,13,24,1,249,7,7,7,7
5,8,1,31,66,71,20,371,0,0,0,0
4,5,1,17,26,28,18,43,0,0,0,0
14,18,1,187,32,39,2,111,0,0,0,0
10,10,1,20,277,516,21,3200,0,0,0,0
36,110,1,625,276,94,1,316,0,0,0,0
0,15,1,573,0,30,1,603,0,0,0,0
24,24,3,59,82,90,57,166,0,0,0,0
15,18,5,46,0,0,0,0,0,0,0,0
30,25,1,101,0,0,0,0,0,0,0,0
13,12,1,21,0,0,0,0,0,0,0,0
6,7,1,24,24,50,1,1017,0,0,0,0
65,71,3,247,254,266,245,300,0,0,0,0
108,184,8,608,31,31,28,41,0,0,0,0
15,33,1,868,26,133,1,2477,2,8,1,37
149,194,118,655,362,370,88,845,0,0,0,0
13,11,1,24,0,0,0,0,0,0,0,0
9,13,1,47,96,219,41,1011,0,0,0,0
9,78,1,2361,2012,1785,191,4277,12,114,5,399
3,11,1,669,237,486,1,4213,687,687,687,687
0,138,1,1724,0,489,2,2694,0,11,11,12
6,162,1,1553,305,598,2,2797,539,523,484,545
140,163,15,420,0,0,0,0,0,0,0,0
13,14,1,49,29,38,5,92,5,13,5,29
7,8,1,24,43,51,29,138,0,0,0,0
8,22,1,164,47,89,21,382,0,0,0,0
0,30,1,2361,0,190,1,4277,0,23,1,687
Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days
15,22,1,164,0,0,0,0,0,0,0,0
3,5,1,15,23,18,6,24,7,7,6,7
3,6,1,24,28,31,16,55,16,16,16,16
23,42,1,196,0,0,0,0,0,0,0,0
8,13,1,28,41,51,31,91,0,0,0,0
29,113,1,3239,0,0,0,0,0,0,0,0
1,10,1,26,23,40,11,85,0,0,0,0
33,23,1,120,0,0,0,0,0,0,0,0
35,59,1,950,0,0,0,0,0,0,0,0
20,45,7,120,0,0,0,0,0,0,0,0
39,50,1,284,81,117,1,375,0,0,0,0
17,16,7,25,0,0,0,0,0,0,0,0
16,14,3,36,0,0,0,0,0,0,0,0
18,15,1,64,0,0,0,0,0,0,0,0
5,5,2,7,0,0,0,0,0,0,0,0
25,12,3,35,0,0,0,0,0,0,0,0
21,156,1,867,0,0,0,0,0,0,0,0
1,11,1,20,0,0,0,0,0,0,0,0
16,11,5,22,119,119,119,119,0,0,0,0
23,70,1,3239,51,86,1,375,7,10,6,16
Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days
7,2.5,1,5,,88.72,6,1327,7,10.8,1,19
2,3,0,20,,35.09,0,895,11,8,2,12
3,5,1,12,,20.88,1,476,6,5,2,6
5,16.5,12,39,,276.86,73,1300,1,1,1,1
1,1,1,1,,26.13,0,333,0,0,0,0
12,11,4,18,,21.22,0,733,5,5,5,5
19.5,24.8,4,98,,998.05,3,2674,217,217,217,217
1,1,0,15,,28.33,0,547,13,13,3,22
0,0,0,0,,16.61,0,112,0,0,0,0
63,94,2,642,,,,,0,0,0,0
0,0,0,2,,6.38,0,76,0,0,0,0
1,2,0,642,0,26,0,2674,6,8,0,217
Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days
46,104,1,598,682,656,227,1465,88,148,12,357
102,133,7,833,758,830,586,1465,179,190,34,357
48,82,5,353,,,47,47,,,,
10,17,1,94,328,458,2,2341,,,,
11,13,1,209,,,,,,,,
4,15.87,,247,27,40.37,,246,1,2.4,,10
8,18,1,127,,,,,17,19,17,28
5,11,,49,94,118,50,337,,,,
1,3.6,1,27,,,,,,,,
8,9,2,28,,,,,,,,
28,52.49,4,483,,,95,218,,,,
21,27,1,528,71,84,10,460,13,18,1,41
52,208.69,,2940,,,,,268,641.48,19,2397
8,49,1,1259,302,374,1,1265,59,109,1,512
20,15.7,2,20,,,,,,,,
11,16.2,1,93,42,73.2,2,430,,,,
18,28,5,227,,,,,,,,
5,13,1,157,84,136,35,664,14,37,7,90
10,11,1,18,,,,,,,,
5.5,13.33,2,132,64,65.33,56,76,14.5,17.5,3,34
8,23,,317,,,,,,,,
9,19,,563,686,686,143,1229,,,,
39,55,16,174,344,344,47,640,,,,
8,12.99,1,133,40.5,60.8,1,451,,,,
70,138,1,796,340,560,214,1465,216,207,64,458
35,46.8,1,191,134,253.5,53,572,,,,
40,62,,710,848,834,143,1254,,,80,80
18,45,1,418,141,141,17,436,,,,
30,15,2,60,,,,,10,5,2,10
14,13.25,2,24,,,,,,,,
15,14.7,2,45,,,,,,,15,21
37,75,2,396,586,586,586,586,,,,
6.5,12.1,1,72,,,,,,,,
1,6,1,114,87,132,1,394,2,14,1,64
3,13.6,1,316,78.5,84.7,17,187,,,3,3
2,2.27,1,13,23,23.16,23,24,12,9.79,1,23
11,43,0,2940,68,273,0,6659,12,110,0,2397
Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days
6,27,,1393,28,71,,1060,19,111,,1646
13,28,,422,80,90,5,252,72,72,2,142
39,47,2,722,49,92,14,637,50,150,4,522
17,24,,282,,,,,,,,
21,160,1,805,,,,,,,,
22,15,2,30,,,,,,,,
261,247,,723,479,443,100,723,,,,
8,46,,644,178,287,,1531,2,2,2,2
78,205,,1513,89,88,15,158,153,168,10,403
12,20,,79,160,160,160,160,,,,
14,25,7,155,,,,,,,,
16,37,0,1513,36,101,0,1531,31,126,0,1646
Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days
33,127,1,781,30,57,1,537,0,0,0,0
128,163,6,499,38,56,2,201,0,0,0,0
315,224,1,412,34,34,9,59,0,0,0,0
181,229,12,770,94,104,13,331,0,0,0,0
182,182,182,182,0,0,0,0,0,0,0,0
28,39,20,81,24,22,2,39,0,0,0,0
309,309,309,309,0,0,0,0,0,0,0,0
92,105,6,445,35,52,3,234,0,0,0,0
33,45,3,330,0,0,0,0,27,27,27,27
11,20,1,109,41,42,3,89,14,14,14,14
20,18,2,55,22,18,4,24,0,0,0,0
19,17,1,49,23,23,21,25,0,0,0,0
20,25,5,289,22,29,9,102,32,32,4,60
15,19,1,85,49,50,6,139,0,0,0,0
27,47,13,163,0,0,0,0,0,0,0,0
18,29,1,157,20,17,5,24,0,0,0,0
27,64,1,311,29,62,1,275,3,3,1,4
51,78,2,279,17,17,8,25,23,16,3,23
6,8,1,30,6,10,2,25,0,0,0,0
