Component,Description,No. of Times Used,Total
FSIP,Federal Service Impasses Panel,0,0
Authority,"Authority Member, Administrative Law Judges & Solicitor",0,0
IG,Inspector General,0,0
OGC,Office of the General Counsel,0,0
ATRO,Atlanta Regional Office,0,0
BORO,Boston Regional Office,0,0
CHRO,Chicago Regional Office,0,0
DARO,Dallas Regional Office,0,0
DERO,Denver Regional Office,0,0
SFRO,San Francisco Regional Office,0,0
WARO,Washington Regional Office,0,0
Total,0,0,
