Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,
BIS,28,4,0,1,0,0,0,0,0,0,0,0,0,33,
Census,91,57,0,0,0,0,0,0,0,0,0,0,0,148,
EDA,19,0,0,0,0,0,0,0,0,0,0,0,0,19,
ESA,3,0,0,0,0,0,0,0,0,0,0,0,0,3,
ITA,8,7,1,1,2,2,1,0,1,0,3,1,0,27,
MBDA,7,0,0,0,0,0,0,0,0,0,0,0,0,7,
NIST,159,28,5,6,1,3,0,1,1,0,0,1,1,206,
NOAA,106,33,17,4,4,3,2,1,0,2,1,0,0,173,
NTIA,23,4,0,0,0,0,0,0,0,0,0,0,0,27,
NTIS,11,2,0,0,0,0,0,0,0,0,0,0,0,13,
OIG,36,4,2,0,0,0,0,0,0,0,0,0,0,42,
OS,91,2,0,0,0,0,0,0,0,0,0,0,0,93,
PTO,242,5,0,0,0,0,0,0,0,0,0,0,0,247,
Total,824,146,25,12,7,8,3,2,2,2,4,2,1,1038,
