Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,
AF,3330,411,56,12,15,6,5,3,1,3,4,0,9,3855,
AFRICOM,5,4,1,0,0,0,0,0,0,0,0,0,0,10,
ARMY,18980,1083,151,13,5,3,2,1,1,0,4,1,1,20245,
ASBCA,3,1,0,0,0,0,0,0,0,0,0,0,0,4,
CENTCOM,33,14,13,4,2,2,0,2,2,0,4,2,6,84,
DCAA,59,2,0,0,0,0,0,0,0,0,0,0,0,61,
DCMA,27,10,3,8,4,0,0,1,2,0,2,1,2,60,
DeCA,176,23,0,2,0,0,0,0,0,0,0,0,0,201,
DFAS,190,26,2,1,0,0,0,0,0,0,0,0,0,219,
DIA,693,0,0,0,0,0,0,0,0,0,0,0,0,693,
DISA,126,18,7,5,1,1,3,0,1,2,3,1,3,171,
DLA,5662,98,13,9,1,1,0,0,0,0,0,0,1,5785,
DoD IG,220,4,1,0,0,1,0,0,0,0,0,0,0,226,
DoDEA,23,19,4,2,1,0,0,0,0,0,0,0,0,49,
DSS,40,0,0,0,0,0,0,0,0,0,0,0,0,40,
DTIC,72,0,0,0,0,0,0,0,0,0,0,0,0,72,
DTRA,22,4,0,0,0,0,0,1,0,0,0,0,0,27,
EUCOM,42,7,4,2,0,0,0,0,0,0,0,0,0,55,
NAVY,7206,0,0,0,0,0,0,0,0,0,0,0,0,7206,
NGA,0,0,0,0,0,0,0,0,0,0,2,1,0,3,
NGB,20,2,0,0,0,0,0,0,0,0,0,0,0,22,
NORTHCOM,27,10,4,1,0,0,0,0,3,0,0,0,0,45,
NRO,131,18,0,0,0,0,0,0,0,0,0,0,0,149,
NSA,1275,74,33,35,24,21,25,18,15,5,37,36,50,1648,
OSD/JS,526,34,12,0,0,2,0,2,1,0,0,0,1,578,
PACOM,5,0,0,0,0,0,0,0,0,0,0,0,0,5,
SOCOM,46,0,0,0,0,0,0,0,0,0,0,0,0,46,
SOUTHCOM,50,0,0,0,0,0,0,0,0,0,0,0,0,50,
STRATCOM,18,3,1,0,0,0,0,0,0,0,0,0,0,22,
TRANSCOM,45,0,0,0,0,0,0,0,0,0,0,0,0,45,
TRICARE,86,13,9,3,0,2,0,0,2,0,0,0,0,115,
Total,39138,1878,314,97,53,39,35,28,28,10,56,42,73,41791,
