Component,Simple,Simple,Simple,Simple,Complex,Complex,Complex,Complex,Expedited,Expedited,Expedited,Expedited
,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,
Office of the AG,15.5,28.25,,450,147,248.97,3,950,264.5,277.55,17,837,
Office of the DAG,17,41.88,,450,202,283.12,7,972,270.5,288.13,60,675,
Office of the Assoc. AG,17,28.94,,286,97,148.6,20,524,234,273.83,42,525,
Antitrust,3,4.4,,14,115,233.63,,1021,33.5,33.5,,66,
ATF,,,,,14,19.01,,266,,,,,
BOP,6,16.89,,642,65,96.09,,744,19,37.38,,125,
Civil,,,,,7,31.11,,653,44,44,44,44,
Civil Rights,4.5,10.76,,413,312,302,1,834,102,102,102,102,
COPS,,,,,3,4.7,,21,,,,,
Criminal,26,39.02,3,325,39,70.15,1,460,61,101.33,50,193,
CRS,8,10.57,4,42,30,31,25,38,,,,,
DEA,,,,,92,121.29,,870,122,150.63,8,391,
ENRD,17,16.08,,60,36,58.88,3,178,6,6,6,6,
EOIR,14,17.41,,622,12,18.16,1,245,16,27,3,87,
EOUSA,,,,,38,91.22,,1237,324,324,9,639,
EOUST,5,7.4,1,22,28,40.1,4,186,5,5,5,5,
FBI,8,28.02,,592,141,181.57,2,775,235.5,236.61,10,562,
FCSC,,,,,12,17.2,,62,,,,,
JMD,19.5,26.06,1,114,37,76.62,2,422,5,8.75,4,21,
NSD,7,24.01,,255,127,227.8,27,1102,223,293.83,28,851,
OCDETF,22.5,29.81,,75,73,76.14,8,176,,,,,
OFDT,13,23.24,1,129,27.5,31.5,2,90,,,,,
OIG,4,8.88,,261,50,59.27,22,306,,,,,
OIP,15,27.82,,537,251.5,309.19,2,641,18,18,18,18,
OIPL,19,19,18,20,62,77.95,6,252,74,74,74,74,
OJP,8,11.96,,70,32,69.17,,721,,,,,
OLA,18,29.77,,151,165,236.32,7,879,229.5,201.38,8,456,
OLC,7,17.47,,442,195,305.15,5,828,118,124.67,9,347,
OLP,9,13.24,,49,30,74.63,1,374,185.5,173.75,47,277,
OPR,26.5,32.24,2,170,171,191.44,69,481,21,21,21,21,
OSG,7,14.3,,238,60,125.56,13,347,470,470,470,470,
OVW,15,13.79,,36,,,,,,,,,
Pardon Attorney,2,3.91,,18,,,,,,,,,
Public Affairs,19,29,4,108,157.5,171.36,16,498,359,258,46,369,
PRAO,13.5,14.38,,58,,,,,19,13,,19,
TAX,4,9.16,,100,29.5,49.93,2,120,,,,,
USMS,2,11.05,,207,38.5,38.5,24,53,120,120,120,120,
USNCB,12,27.14,,289,100.5,119.17,54,299,11,11,4,18,
USPC,1.5,8.08,,272,13,38.92,,434,,,,,
Total,12,19,0,642,43,100,0,1237,148,190,0,851,
