,Simple,,,Complex,,,Expedited PROCESSING,,
,Number Pending,Median Number of Days,Average  Number  of Days,Number Pending,Median  Number  of Days,Average  Number of Days,Number Pending,Median  Number  of Days,Average  Number  of Days
AGENCY OVERALL – FCC,57*,23,71,0,0,0,0,0,0
