Agency Overall – FCC,10th Oldest Request and Number of Days Pending,9th ,8th ,7th  ,6th  ,5th ,4th ,3rd ,2nd  ,Oldest Request and Number of Days Pending
,Date:  4/22/09,3/9/2009,3/4/2009,1/29/2009,1/29/2009,10/31/2008,8/28/2008,3/5/2008,8/29/2007,4/17/2007
,No. of Days: 112,144 days,147 days,170 days,170 days,229 days,274 days,400 days,535 days,631 days
